,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
270,btc,3857.833333333333,2562.3299487184413,10,7.5,62,31,93.0752758372284,31,-10.419471039859308,19.92566599426792,"""[38.19346733668341, 25.1916996047431, 58.17647058823529, 1023.0955056179776, 22.46842105263157, 614.6789901516336, 25.144866034281904, 4.55953558289489, 15.762303574512181, 71.47165991902833, 1.8009259259259256, 33.179847075753344, 46.059285283424906, 7.682410855368563, 8.138376383763847, 121.97319426632119, 66.23220905859489, 41.64377257369219, 85.97364545783778, 12.630471137504744, 10.48369578845976, 2.0438893057697145, 96.03365810230224, 10.947259799897433, 2.467671320064666, 23.886726500392825, 26.829285479166284, 11.398724357959685, 318.9859088381178, 35.79665865736414, 22.40301532377657]""","""[-46.142201834862384, -38.99658314350796, -12.10220994475138, -6.269230769230766, -0.15986394557822342, -31.150588895120574, -6.397751770865412, -7.41031510220738, -11.730830450886161, -12.206349206349206, -6.995603517186249, -17.407931427462966, -6.170033670033673, -5.453496096993858, -7.715216043001856, -8.78382838283828, -5.702728670253643, -0.22269373623973088, -8.812063106434344, -5.211584131757354, -7.287762239226082, -7.430043554743011, -1.7301072219374032, -8.431597647133753, -6.157095973991948, -8.688582045965724, -2.784285963499498, -15.736883843443517, -7.157163602220987, -1.5027795932187495, -11.05619670469651]"""
307,btc,3857.833333333333,2541.4232373447585,11,7.5,62,29,97.94727128635476,33,-9.062049392713025,19.763087342725044,"""[38.19346733668341, 25.1916996047431, 53.86337625178825, 1023.0955056179776, 22.46842105263157, 602.1574957011098, 25.144866034281904, 15.762303574512181, 71.47165991902833, 2.4083711724298547, 33.179847075753344, 46.059285283424906, 7.682410855368563, 8.138376383763847, 121.97319426632119, 66.23220905859489, 40.38120906428698, 85.97364545783778, 12.630471137504744, 2.787946890596873, 2.0438893057697145, 89.62488934014216, 12.613018163756628, 17.34241131353104, 26.829285479166284, 11.398724357959685, 317.62321362418305, 35.79665865736414, 22.40301532377657]""","""[-38.99658314350796, -12.418063314711354, -6.269230769230766, -0.15986394557822342, -31.150588895120574, -8.699876809362483, -9.815643672592207, -11.730830450886161, -12.206349206349206, -6.995603517186249, -16.46861206473762, -4.4942977766811945, -6.024527764931888, -6.055555555555554, -7.715216043001856, -8.78382838283828, -5.702728670253643, -0.22269373623973088, -8.812063106434344, -7.0110256635213695, -6.325341277920494, -7.430043554743011, -1.9548042626991982, -8.431597647133753, -7.262880760519535, -2.388893648006169, -9.312327051965951, -8.688582045965724, -2.784285963499498, -15.019551358219527, -7.157163602220987, -1.5027795932187495, -11.05619670469651]"""
308,btc,3857.833333333333,2429.480349411078,11,8.0,59,29,93.97126569588757,30,-9.856211858988706,18.89257626880348,"""[38.19346733668341, 25.1916996047431, 53.86337625178825, 1016.3384879725086, 16.16315789473684, 540.813608550848, 25.144866034281904, 15.526883805092407, 74.04560441825001, 1.8009259259259256, 33.179847075753344, 45.74694973157637, 5.455563251479959, 8.138376383763847, 119.61955815464589, 63.243094186326196, 38.86014182517671, 82.01222549765703, 10.893427451244335, 0.013493248235467159, 1.6879372095004825, 89.62488934014216, 9.771584376816635, 19.535010468945654, 25.096490562271867, 11.398724357959685, 298.1265404114071, 35.79665865736414, 19.884115195614385]""","""[-38.99658314350796, -13.391344383057078, -9.421933085501852, -0.5850340136054404, -33.95350656417931, -8.699876809362483, -9.815643672592207, -14.915145568032587, -15.182539682539682, -6.995603517186249, -6.170033670033673, -6.024527764931888, -6.055555555555554, -10.636413641364134, -5.702728670253643, -1.0765513563953935, -8.812063106434344, -7.4869987975505605, -7.287762239226082, -7.430043554743011, -4.981669738980571, -8.431597647133753, -7.262880760519535, -2.6965898738075036, -8.688582045965724, -4.5132181473787725, -16.533641928501048, -7.670233091234538, -2.5585710917673428, -13.709482648319234]"""
306,btc,3857.833333333333,2421.6410587795526,11,7.0,70,34,81.27587060044749,36,-9.492737267657285,18.83161492116989,"""[38.19346733668341, 23.2354085603113, 71.37039764359352, 1023.0955056179776, 22.71052631578947, 614.6789901516336, 27.287485438508888, 3.5225608084289615, 15.762303574512181, 24.354251012145742, 18.73368421052631, 2.636522753792298, 39.103513821173145, 0.44116065276214234, 46.51947765221515, 7.682410855368563, 8.857011070110707, 124.58297143664161, 66.23220905859489, 47.58644995922172, 88.96778438444291, 12.630471137504744, 10.648168744827956, 3.1848600792165187, 99.07176426546064, 12.613018163756628, 2.467671320064666, 20.750599771490368, 30.23728292441975, 11.398724357959685, 58.90813955065628, 123.78252463141122, 38.29570136357821, 23.836581790433772]""","""[-38.99658314350796, -10.274436090225572, -6.269230769230766, -1.0952380952381002, -0.15986394557822342, -28.448138975890444, -6.397751770865412, -7.41031510220738, -10.209510545165132, -9.77254933942261, -6.1274980015987275, -14.877232967845266, -4.428502892233458, -4.821839080459771, -7.715216043001856, -8.78382838283828, -4.624963560392567, -23.361197912263034, -6.538223978768701, -5.211584131757354, -2.4607703888873136, -5.153981763851872, -1.265987848907593, -6.700147015610899, -6.157095973991948, -14.354081613717343, -7.729716233671111, -6.99756624023634, -10.178670569304467, -12.414815276053433, -14.18581475500374, -19.259202826046415, -7.157163602220987, -0.4707959752639055, -10.672830119707793, -11.05619670469651]"""
529,btc,3857.833333333333,2412.538484780565,17,7.5,61,29,96.36817296235164,32,-11.941829097738545,18.760829794811496,"""[38.19346733668341, 137.02417794970987, 1016.3384879725086, 14.2664906285596, 521.8537498090728, 17.884922616075883, 6.180056236192005, 14.688195038494436, 72.8133863431429, 2.636522753792298, 33.179847075753344, 41.96909667194929, 5.455563251479959, 5.593173431734313, 121.97319426632119, 66.23220905859489, 40.38120906428698, 79.01841566059339, 10.893427451244335, 0.013493248235467159, 3.3519789012487147, 91.8038981340254, 18.51066278510934, 22.83952765841257, 22.176712622153648, 11.398724357959685, 315.68229825060365, 37.43213524330685, 24.891992090954034]""","""[-48.89449541284404, -38.99658314350796, -9.421933085501852, -9.75925925925927, -38.30572147123546, -9.931783184477979, -8.986272028040101, -16.43796573654622, -12.830778013374657, -6.995603517186249, -14.317631479379486, -3.5545454545454476, -23.341592259257943, -9.112617052735338, -8.78382838283828, -1.6669838725833839, -1.5997800439912055, -8.812063106434344, -7.0110256635213695, -6.325341277920494, -5.153981763851872, -4.981669738980571, -7.061757829380622, -9.01607398733495, -1.6167590256980682, -7.729716233671111, -7.835823268624087, -22.750396500327014, -7.670233091234538, -0.4707959752639055, -11.845483117866848, -10.920037150218711]"""
530,btc,3857.833333333333,2364.4361073003943,17,8.0,54,27,99.41863443496432,27,-11.846926757171913,18.386767154018703,"""[25.12814070351759, 125.22533849129594, 1016.3384879725086, 14.2664906285596, 471.51008095310823, 17.884922616075883, 11.20806527203783, 70.57549799163867, 1.0950634532541677, 33.179847075753344, 49.3000399920016, 3.2867555545935656, 5.593173431734313, 116.15335598980461, 63.243094186326196, 33.611833538181756, 65.91724860335195, 10.58705022282568, 4.5225967189233, 3.3519789012487147, 89.62488934014216, 15.42351543240423, 17.34241131353104, 46.05127912947257, 315.68229825060365, 35.79665865736414, 22.40301532377657]""","""[-38.57339449541284, -10.351301115241641, -12.571778140293642, -38.30572147123546, -10.40144748999076, -12.419786676962797, -17.45626822157435, -12.830778013374657, -8.062502987714524, -17.784711100160166, -6.969520657627844, -6.024527764931888, -9.112617052735338, -11.128008752735228, -1.9458733924335032, -11.836005765246373, -7.287762239226082, -4.981669738980571, -9.306052307146405, -9.46709732625651, -2.388893648006169, -7.9455703956216555, -7.835823268624087, -22.750396500327014, -9.007000431869304, -1.277030372046032, -11.845483117866848]"""
269,btc,3857.833333333333,2363.065770724818,10,7.0,70,34,79.92365506738267,36,-9.842736154616473,18.376110888256243,"""[38.19346733668341, 22.99514563106796, 58.41016200294549, 1023.0955056179776, 22.71052631578947, 617.8231276495526, 27.287485438508888, 9.241760246483157, 15.762303574512181, 71.47165991902833, 2.4083711724298547, 33.179847075753344, 0.44116065276214234, 46.51947765221515, 7.682410855368563, 10.805890969183686, 124.58297143664161, 66.23220905859489, 48.59355703134103, 88.96778438444291, 12.630471137504744, 11.314016020513858, 2.0438893057697145, 99.07176426546064, 12.613018163756628, 2.467671320064666, 23.94217937740406, 28.180690263982918, 11.398724357959685, 48.91523825887225, 46.3776682618622, 20.554853862212948, 37.652681883930576, 23.836581790433772]""","""[-43.848623853211, -38.99658314350796, -10.36964618249535, -5.538759689922476, -1.0952380952381002, -0.15986394557822342, -31.150588895120574, -6.397751770865412, -4.611248549458678, -10.185022498392968, -9.77254933942261, -6.995603517186249, -15.163052852038941, -4.4942977766811945, -4.821839080459771, -7.715216043001856, -7.979746975918319, -4.624963560392567, -6.538223978768701, -5.211584131757354, -2.4607703888873136, -3.140299835388142, -4.243776657619234, -1.265987848907593, -6.700147015610899, -6.003501378980943, -14.354081613717343, -7.9455703956216555, -6.99756624023634, -10.178670569304467, -12.414815276053433, -15.019551358219527, -19.259202826046415, -7.157163602220987, -0.4707959752639055, -11.05619670469651]"""
565,btc,3857.833333333333,2320.9744454104098,18,7.0,67,33,81.79565178742136,34,-11.125943046308658,18.048792507619726,"""[25.12814070351759, 141.27949709864603, 1023.0955056179776, 16.16315789473684, 531.8506949747975, 25.144866034281904, 6.180056236192005, 14.241596012100036, 27.914306388257184, 18.194736842105268, 3.241784037558685, 39.103513821173145, 55.644965658336986, 5.455563251479959, 5.593173431734313, 121.97319426632119, 76.73358144140781, 41.64377257369219, 95.40962614821537, 12.630471137504744, 0.013493248235467159, 3.3519789012487147, 91.8038981340254, 18.51066278510934, 3.702041291122061, 24.472172126103068, 25.096490562271867, 11.398724357959685, 44.24729237133345, 123.78252463141122, 38.29570136357821, 27.08435105992994, 0.8749745825399233]""","""[-44.07142857142858, -38.99658314350796, -12.10220994475138, -9.421933085501852, -9.066581849024596, -33.21206040405414, -8.059838849830165, -3.903768990919139, -14.915145568032587, -9.77254933942261, -6.995603517186249, -11.204607046070457, -3.5545454545454476, -23.341592259257943, -8.110861983059298, -8.78382838283828, -0.9414621225498851, -0.4344548831112105, -3.966163201255393, -7.0110256635213695, -5.482267662276135, -8.569134883061157, -5.153981763851872, -1.265987848907593, -7.061757829380622, -7.262880760519535, -6.391212756099305, -8.688582045965724, -12.308625929925674, -12.414815276053433, -18.326068722848035, -4.72498356765114, -11.845483117866848, -10.920037150218711]"""
567,btc,3857.833333333333,2319.7760619366345,18,8.0,53,27,99.29548415925,26,-13.892385013965946,18.03947341550068,"""[25.12814070351759, 137.02417794970987, 1011.5615911035073, 14.2664906285596, 463.4135672338504, 17.884922616075883, 10.180062476254808, 70.57549799163867, 1.0950634532541677, 33.179847075753344, 49.3000399920016, 3.2867555545935656, 5.593173431734313, 116.15335598980461, 63.243094186326196, 33.611833538181756, 65.91724860335195, 8.109779675861777, 9.19689172268009, 3.3519789012487147, 89.62488934014216, 10.54044298568378, 20.750599771490368, 46.05127912947257, 315.68229825060365, 35.79665865736414, 20.458391337086542]""","""[-48.89449541284404, -82.50000000000001, -10.351301115241641, -12.571778140293642, -12.31860178626424, -9.77134738594818, -17.45626822157435, -12.830778013374657, -10.338205809670344, -15.82349602724177, -6.969520657627844, -6.024527764931888, -9.112617052735338, -11.128008752735228, -1.6669838725833839, -8.928927355985627, -7.287762239226082, -4.981669738980571, -11.184160005823031, -9.46709732625651, -2.388893648006169, -7.9455703956216555, -7.835823268624087, -22.750396500327014, -9.007000431869304, -1.6667794393280446]"""
528,btc,3857.833333333333,2312.877929650784,17,7.0,68,33,82.09399101735104,35,-11.32067925490856,17.985830878176056,"""[38.19346733668341, 142.69066147859925, 1023.0955056179776, 16.16315789473684, 531.8506949747975, 25.144866034281904, 6.180056236192005, 14.935062151735957, 27.914306388257184, 18.73368421052631, 2.636522753792298, 39.103513821173145, 45.43831168831169, 7.563002902901793, 5.593173431734313, 124.58297143664161, 76.73358144140781, 41.64377257369219, 95.40962614821537, 12.630471137504744, 0.013493248235467159, 3.3519789012487147, 91.8038981340254, 18.51066278510934, 3.4105660381907303, 24.472172126103068, 25.096490562271867, 11.398724357959685, 44.24729237133345, 123.78252463141122, 38.29570136357821, 27.60681481141465, 0.8749745825399233]""","""[-44.07142857142858, -38.99658314350796, -12.10220994475138, -6.269230769230766, -8.988964346349746, -33.21206040405414, -7.577968243937126, -4.830488577497859, -14.915145568032587, -9.77254933942261, -6.995603517186249, -13.215231788079473, -3.5545454545454476, -23.341592259257943, -8.110861983059298, -8.78382838283828, -0.9414621225498851, -0.4344548831112105, -6.538223978768701, -7.0110256635213695, -5.631664914922026, -8.569134883061157, -5.153981763851872, -1.5812181633743725, -6.700147015610899, -7.262880760519535, -6.391212756099305, -7.533647478210626, -12.308625929925674, -12.414815276053433, -17.005941948399144, -18.326068722848035, -7.157163602220987, -9.603774615353197, -10.920037150218711]"""
