coinpair,timeframe,length_in_days,trend,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
btc,4h,701.5,_bear1,-29.62307032243238,10,7.5,11,3,15.155568397229658,8,-9.386221939265168,-1.2668454877733022,"""[25.144866034281904, 4.55953558289489, 15.762303574512181]""","""[-7.41031510220738, -11.730830450886161, -12.206349206349206, -6.995603517186249, -17.407931427462966, -6.170033670033673, -5.453496096993858, -7.715216043001856]"""
btc,4h,701.5,_bear1,-40.59946644312785,11,7.5,11,2,20.453584804397043,9,-9.056292894657993,-1.7362565834552182,"""[25.144866034281904, 15.762303574512181]""","""[-9.815643672592207, -11.730830450886161, -12.206349206349206, -6.995603517186249, -16.46861206473762, -4.4942977766811945, -6.024527764931888, -6.055555555555554, -7.715216043001856]"""
btc,4h,701.5,_bear1,-24.487299591497536,11,8.0,9,2,20.335874919687157,7,-9.308435632981693,-1.0472116717675355,"""[25.144866034281904, 15.526883805092407]""","""[-9.815643672592207, -14.915145568032587, -15.182539682539682, -6.995603517186249, -6.170033670033673, -6.024527764931888, -6.055555555555554]"""
btc,4h,701.5,_bear1,-18.79031415048417,11,7.0,11,3,15.524116607150011,8,-8.170332996491775,-0.803577226677869,"""[27.287485438508888, 3.5225608084289615, 15.762303574512181]""","""[-7.41031510220738, -10.209510545165132, -9.77254933942261, -6.1274980015987275, -14.877232967845266, -4.428502892233458, -4.821839080459771, -7.715216043001856]"""
btc,4h,701.5,_bear1,-56.82383165030313,17,7.5,11,3,12.917724630254108,8,-11.94712569263318,-2.4300997141968548,"""[17.884922616075883, 6.180056236192005, 14.688195038494436]""","""[-8.986272028040101, -16.43796573654622, -12.830778013374657, -6.995603517186249, -14.317631479379486, -3.5545454545454476, -23.341592259257943, -9.112617052735338]"""
btc,4h,701.5,_bear1,-61.567724586967856,17,8.0,10,2,14.546493944056856,8,-11.332589059385196,-2.6329746794141635,"""[17.884922616075883, 11.20806527203783]""","""[-12.419786676962797, -17.45626822157435, -12.830778013374657, -8.062502987714524, -17.784711100160166, -6.969520657627844, -6.024527764931888, -9.112617052735338]"""
btc,4h,701.5,_bear1,-11.467280397138044,10,7.0,11,3,17.430516419834742,8,-7.969853707080285,-0.4904040084307075,"""[27.287485438508888, 9.241760246483157, 15.762303574512181]""","""[-4.611248549458678, -10.185022498392968, -9.77254933942261, -6.995603517186249, -15.163052852038941, -4.4942977766811945, -4.821839080459771, -7.715216043001856]"""
btc,4h,701.5,_bear1,-36.23215587591979,18,7.0,11,3,15.188839427524648,8,-10.224834269811716,-1.5494863524983515,"""[25.144866034281904, 6.180056236192005, 14.241596012100036]""","""[-3.903768990919139, -14.915145568032587, -9.77254933942261, -6.995603517186249, -11.204607046070457, -3.5545454545454476, -23.341592259257943, -8.110861983059298]"""
btc,4h,701.5,_bear1,-60.26177584077368,18,8.0,10,2,14.032492546165345,8,-11.040845116638046,-2.5771251250509057,"""[17.884922616075883, 10.180062476254808]""","""[-9.77134738594818, -17.45626822157435, -12.830778013374657, -10.338205809670344, -15.82349602724177, -6.969520657627844, -6.024527764931888, -9.112617052735338]"""
btc,4h,701.5,_bear1,-38.476034064871605,17,7.0,11,3,15.41999480740329,8,-10.592002310885183,-1.645446930785671,"""[25.144866034281904, 6.180056236192005, 14.935062151735957]""","""[-4.830488577497859, -14.915145568032587, -9.77254933942261, -6.995603517186249, -13.215231788079473, -3.5545454545454476, -23.341592259257943, -8.110861983059298]"""
btc,1h,701.2083333333333,_bear1,-31.150417404329758,11,19.5,10,3,16.222561885242637,7,-11.40258615143681,-1.3327173647345314,"""[21.608503910800458, 10.86892916119744, 16.190252583730015]""","""[-5.709923664122143, -18.80985915492958, -13.709509052356879, -10.244088411434216, -17.533446437227344, -8.825721347590136, -4.9855549923973665]"""
btc,1h,701.2083333333333,_bear1,-29.03509468572687,11,19.0,10,3,16.252609587723324,7,-11.113274778413833,-1.2422168978384545,"""[21.608503910800458, 10.86892916119744, 16.280395691172064]""","""[-5.709923664122143, -18.80985915492958, -12.830778013374657, -9.960045202637854, -16.910567135239948, -8.58619528619528, -4.9855549923973665]"""
btc,1h,701.2083333333333,_bear1,-34.30497124919377,11,20.0,10,3,15.932057663096733,7,-11.728734891211996,-1.4676795590599272,"""[21.608503910800458, 10.291912384161742, 15.895756694328004]""","""[-5.709923664122143, -19.326760563380276, -13.709509052356879, -11.5714779908058, -17.533446437227344, -9.26447153819416, -4.9855549923973665]"""
btc,1h,701.2083333333333,_bear1,-37.3534306410732,13,19.0,10,3,14.932778384594604,7,-11.735966542122432,-1.598102683556522,"""[21.608503910800458, 6.90943555181129, 16.280395691172064]""","""[-5.709923664122143, -20.26338028169015, -13.709509052356879, -9.960045202637854, -18.095734367426083, -9.427618234226536, -4.9855549923973665]"""
btc,1h,701.2083333333333,_bear1,-41.957938291942426,14,19.0,10,3,14.23323759235393,7,-12.093950152714886,-1.7950986731355727,"""[21.608503910800458, 6.90943555181129, 14.181773314450039]""","""[-7.1704246523863215, -20.26338028169015, -13.709509052356879, -9.960045202637854, -18.643480368395544, -9.427618234226536, -5.48319327731093]"""
btc,1h,701.2083333333333,_bear1,-44.6425442593394,15,19.0,10,3,13.999591444138082,7,-12.377331227393379,-1.9099549507828375,"""[18.808943089430894, 6.90943555181129, 16.280395691172064]""","""[-7.1704246523863215, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.979623824451416]"""
btc,1h,701.2083333333333,_bear1,-43.85518012427477,13,19.5,10,3,13.609735644024738,7,-12.097769579478427,-1.8762689220677304,"""[18.808943089430894, 5.830011258913308, 16.190252583730015]""","""[-5.709923664122143, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.48319327731093]"""
btc,1h,701.2083333333333,_bear1,-47.32416038181892,14,19.5,10,3,12.940242554264747,7,-12.306412577801881,-2.024683313025707,"""[18.808943089430894, 5.830011258913308, 14.181773314450039]""","""[-7.1704246523863215, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.48319327731093]"""
btc,1h,701.2083333333333,_bear1,-52.09180306965828,14,20.0,10,3,12.940242554264747,7,-12.987504390350363,-2.2286587563226554,"""[18.808943089430894, 5.830011258913308, 14.181773314450039]""","""[-8.633068642803423, -20.373239436619723, -13.709509052356879, -11.5714779908058, -19.13790596219099, -9.990464443913949, -7.496865203761759]"""
btc,1h,701.2083333333333,_bear1,-46.3619281199568,13,20.0,10,3,13.511570347557402,7,-12.413805594661287,-1.9835158503992454,"""[18.808943089430894, 5.830011258913308, 15.895756694328004]""","""[-5.709923664122143, -20.26338028169015, -13.709509052356879, -11.5714779908058, -18.643480368395544, -9.990464443913949, -7.008403361344541]"""
