coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
doge,1148.3333333333333,763.1410277039869,3,3.0,72,23,48.94123740592532,49,-7.398110870046841,19.93692089792709,"""[3.9795622524398677, 6.8409669211196045, 9.484981568288344, 23.26407139494072, 2.6077236863292392, 14.494006233517139, 39.5839054157132, 28.774721866883752, 15.487858890575142, 98.33886204106622, 479.6434433805316, 1.8180148600984003, 222.35682662566487, 84.42846655512682, 3.290822219888693, 42.76808021825491, 4.9377880184331815, 1.9858757062146979, 5.628830519074424, 15.745791245791242, 5.834486010688472, 0.833542516473156, 13.519832189168579]""","""[-8.089658048373643, -1.8562040232890458, -2.986238871033276, -3.180744171442024, -4.390403954320773, -1.8270321361058655, -5.85691509714724, -5.490219932255132, -0.45662023425074183, -5.013944865387703, -1.3261694763871912, -4.833497294638467, -5.880239987533113, -6.099722136461871, -2.989093175444063, -7.802629650259446, -1.119222303741747, -8.923553551661756, -3.420301641283457, -3.5526315789473695, -3.229688686408511, -7.6357751905045115, -11.999165971643034, -14.393900197426653, -20.67354380134773, -0.8966584530320463, -4.621133543248758, -14.091386435151835, -17.886934673366845, -5.84706077715045, -12.23428798727129, -3.9402783146501705, -22.864023093284715, -6.91495601173019, -7.79215048769159, -20.850212967345, -9.711398277004635, -0.8382949932341004, -8.757477243172945, -8.065543071161056, -13.983870967741936, -6.318673883626521, -7.706588881262875, -5.514326647564474, -7.49043414275201, -8.7004555808656, -3.5331753554502447, -16.52227525855211, -4.398719608689403]"""
doge,1148.3333333333333,750.9911696546664,3,3.5,59,19,57.22970079134031,40,-8.40932863451999,19.619508060644407,"""[2.9429431873677263, 6.8409669211196045, 13.424904805514046, 23.26407139494072, 2.6077236863292392, 18.9638465322184, 39.5839054157132, 28.774721866883752, 14.061473278472876, 89.51333887297454, 479.6434433805316, 222.35682662566487, 69.10511070052922, 36.3257311061121, 4.9377880184331815, 5.628830519074424, 12.470711297071142, 3.398145237346762, 13.519832189168579]""","""[-3.0067112924031565, -4.079777907656341, -4.534853599183597, -4.6247656383160125, -1.8270321361058655, -5.013944865387703, -5.122083286814784, -2.989093175444063, -10.095145261059482, -2.002567865003667, -5.860620200609914, -3.5526315789473695, -3.708048595292329, -9.84655351090945, -11.999165971643034, -14.393900197426653, -0.39677447593897486, -24.02400155647529, -10.930740960925263, -5.497839106007279, -20.606561974200776, -2.6256281407035233, -5.84706077715045, -12.23428798727129, -8.888094317742558, -22.864023093284715, -10.478843441466852, -12.34393869019972, -22.79058211074301, -1.4825327510917008, -0.8382949932341004, -8.065543071161056, -13.983870967741936, -9.23925501432664, -9.11313868613139, -8.7004555808656, -5.958999183483033, -20.43635640413684, -6.1800342514628195, -0.18939276285138712]"""
doge,1148.3333333333333,809.5984849944823,3,4.0,49,18,59.04932447937736,31,-8.170624375300315,21.15061354122015,"""[1.2891839378238295, 7.35324697460372, 13.014551916242425, 23.26407139494072, 2.6077236863292392, 18.9638465322184, 26.72307278520296, 24.342876421823792, 14.061473278472876, 85.41540255461176, 479.6434433805316, 222.35682662566487, 69.10511070052922, 43.153266331658294, 4.9377880184331815, 4.065353345841151, 10.428512736236653, 12.162090007627768]""","""[-6.176931613261206, -4.795733489187619, -4.534853599183597, -3.39118822606552, -5.586248589392227, -5.122083286814784, -3.735407808272127, -10.095145261059482, -3.9013206162875993, -4.596071495066091, -4.421791951404715, -11.999165971643034, -0.39677447593897486, -10.930740960925263, -6.868409739920789, -20.606561974200776, -5.84706077715045, -8.888094317742558, -25.56836827711941, -12.34393869019972, -23.642451490771418, -1.4825327510917008, -2.665087956698228, -9.024833209785024, -13.983870967741936, -9.23925501432664, -11.77562642369021, -8.840909090909092, -1.3173530336372097, -7.624789207419906, -3.8867553674024884]"""
doge,1148.3333333333333,1135.3847607047285,3,4.5,41,17,80.2123948844733,24,-9.509414680471568,29.66172088923819,"""[0.8542926239419568, 6.454150332367482, 11.811712995961033, 14.665718111817881, 2.254747258625295, 16.697358767424802, 26.72307278520296, 14.797912713472483, 162.3641437517016, 452.2117453510296, 588.8931688872669, 42.781211218664694, 4.476958525345624, 2.75203252032521, 9.688989317995064, 1.9520591009116726, 4.231438773991948]""","""[-6.7232795476486045, -4.795733489187619, -5.07649737028023, -4.548537924892385, -9.584314041592767, -9.85809018567639, -5.976923076923076, -10.095145261059482, -3.9013206162875993, -5.028020852727608, -5.314045686237494, -13.698498748957462, -0.39677447593897486, -10.930740960925263, -9.831640518726765, -18.554651919323355, -8.888094317742558, -25.56836827711941, -12.34393869019972, -16.117605300520587, -2.665087956698228, -21.906539173349774, -9.556818181818173, -6.865285757484132]"""
doge,1148.3333333333333,1074.0200393457376,3,5.0,38,15,87.43542753280211,23,-10.326581462882361,28.058578676666585,"""[2.815152548150666, 10.395699691138036, 14.665718111817881, 0.4129287598944613, 17.34224406617117, 26.72307278520296, 14.797912713472483, 125.38559155398252, 452.2117453510296, 588.8931688872669, 41.639488706875156, 2.111085661933125, 7.954106280193223, 1.9520591009116726, 4.231438773991948]""","""[-7.352739726027394, -7.1523297491039335, -7.427594467197291, -2.8587664236422556, -7.329107188727013, -9.584314041592767, -9.85809018567639, -10.095145261059482, -4.4295671313279446, -9.246983478745138, -13.698498748957462, -4.312029299494483, -10.930740960925263, -13.640473383513198, -18.554651919323355, -8.888094317742558, -25.56836827711941, -14.88881371222373, -16.117605300520587, -2.219901719901718, -4.585733422638978, -21.906539173349774, -6.865285757484132]"""
doge,1148.3333333333333,1103.7360319361944,3,5.5,35,13,100.59049619161563,22,-9.270019025218573,28.83490359194703,"""[2.815152548150666, 9.437947041826536, 14.665718111817881, 17.34224406617117, 26.72307278520296, 19.890891840607196, 123.96642217278904, 452.2117453510296, 588.8931688872669, 39.415611814346, 0.12893081761006842, 7.954106280193223, 4.231438773991948]""","""[-8.102676903217045, -7.442652329749096, -8.177150142956494, -5.081075285586182, -6.899764063997637, -9.584314041592767, -9.85809018567639, -0.9538258575197829, -8.471464019851112, -8.267646065518411, -15.448915763135947, -4.312029299494483, -10.930740960925263, -19.136950904392755, -5.177232315423259, -14.88881371222373, -17.537387600567904, -2.219901719901718, -6.621091151031262, -22.52344231955582, -4.947079750963538, -7.358174161528042]"""
doge,1148.3333333333333,1012.9816627407511,3,6.0,33,12,102.26780005362917,21,-10.201520852514243,26.463962161587112,"""[2.815152548150666, 6.1997751124437945, 14.665718111817881, 17.34224406617117, 21.790727024454835, 19.890891840607196, 117.94484100283766, 392.0533291434064, 588.8931688872669, 36.30814097791016, 7.309983896940408, 1.9996280315429265]""","""[-8.102676903217045, -8.023297491039422, -8.965342709218772, -5.081075285586182, -8.497246077472184, -10.213828296978178, -0.9538258575197829, -9.881344461989624, -8.267646065518411, -5.598240109286117, -10.930740960925263, -20.35364301622654, -1.218778077268639, -7.728449942017779, -27.834235453315298, -17.537387600567904, -7.282713085234096, -10.636452241715402, -22.831893892658844, -4.947079750963538, -9.346040624080073]"""
doge,1148.3333333333333,1019.0232912745307,3,6.5,29,13,91.41825784186656,16,-10.58837879185846,26.621798610945653,"""[7.689875575251406, 6.1997751124437945, 14.665718111817881, 17.34224406617117, 21.790727024454835, 18.692184858162694, 117.94484100283766, 392.0533291434064, 555.3747689159842, 22.327346465816927, 7.316711590296495, 6.424315619967791, 0.6155144576544997]""","""[-10.469878521068491, -8.553763440860216, -9.896491770342331, -5.081075285586182, -2.1219035202085963, -10.961312880667714, -6.079946714698483, -10.297945829304863, -10.930740960925263, -20.35364301622654, -17.537387600567904, -7.282713085234096, -10.636452241715402, -23.26372609500308, -5.717906907797227, -10.229172799528992]"""
doge,1148.3333333333333,973.7719361465323,3,7.0,25,12,92.84158479123708,13,-10.794390872947117,25.43961516783394,"""[6.39875575251406, 4.911356821589213, 9.931998669493996, 16.56465042829116, 30.894049737245012, 18.692184858162694, 117.94484100283766, 392.0533291434064, 485.2119780791759, 19.920714858721812, 6.404231625835183, 5.17092651757188]""","""[-11.684667836218594, -6.020683067565986, -2.759067357512952, -8.333358332083403, -10.297945829304863, -12.638572123439447, -18.199952673923327, -10.584033613445383, -11.481156595191681, -23.94231955582973, -8.964275126000603, -11.804091845746246, -3.6169573920503306]"""
doge,1148.3333333333333,955.4634544045202,3,7.5,24,12,92.09910519404933,12,-12.477150660339296,24.961309403891676,"""[6.39875575251406, 3.0519761649830115, 8.298951335408807, 22.90112593193692, 28.07615757024041, 13.687358089797113, 117.94484100283766, 392.0533291434064, 485.2119780791759, 19.29677333095641, 3.57632263660017, 4.691693290734828]""","""[-11.684667836218594, -6.020683067565986, -8.684534927157275, -11.06053796083389, -14.413526966559887, -18.67321344060577, -12.174528301886799, -12.715724496426258, -25.23781616286243, -8.964275126000603, -11.804091845746246, -8.292207792207776]"""
