coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,profit_order,average_profit,loss_order,average_loss
matic,1031.2395833333333,-1934.5522844369045,2,1.0,0,0,0,0,0
matic,1155.0833333333333,306.5463837185298,2,1.0,0,0,0,0,0
matic,1050.0,1566.0125421156724,2,1.0,0,0,0,0,0
matic,1031.2395833333333,-1420.3242872188807,2,1.25,0,0,0,0,0
matic,1155.0833333333333,744.8350942382267,2,1.25,0,0,0,0,0
matic,1050.0,1630.288329398813,2,1.25,0,0,0,0,0
matic,1031.2395833333333,-815.3490942107269,2,1.5,0,0,0,0,0
matic,1155.0833333333333,1024.6819570057794,2,1.5,0,0,0,0,0
matic,1050.0,1697.4706624775013,2,1.5,0,0,0,0,0
matic,1031.2395833333333,-563.723138254204,2,1.75,0,0,0,0,0
matic,1155.0833333333333,1348.4533402172235,2,1.75,0,0,0,0,0
matic,1050.0,1973.8369974070079,2,1.75,0,0,0,0,0
matic,1031.2395833333333,-337.16556437939073,2,2.0,0,0,0,0,0
matic,1155.0833333333333,1359.8764427198948,2,2.0,0,0,0,0,0
matic,1050.0,2090.3253042338292,2,2.0,0,0,0,0,0
