coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss
ada,1041.6666666666665,1211.983621736837,4,12.0,182,60,12.26030167169082,122,-4.292085889873861
ada,1041.6666666666665,1219.3324351177778,4,12.5,171,60,12.352788772652312,111,-4.701215236408649
ada,1041.6666666666665,1227.0927257538,4,13.0,162,56,13.191881424995128,106,-4.826911641942708
ada,1041.6666666666665,1234.6358470395091,4,13.5,152,54,13.280652921683055,98,-4.923667456442619
ada,1041.6666666666665,1241.708046449331,4,14.0,145,50,14.22561573459526,95,-4.942870950320337
ada,1041.6666666666665,1231.960493850949,4,14.5,141,48,14.483451863327986,93,-4.981131135363389
ada,1041.6666666666665,1224.983516255844,4,15.0,134,47,14.298305081080597,87,-5.1383542822407335
ada,1041.6666666666665,1198.6998876586144,4,15.5,129,46,14.063522376163109,83,-5.400266766805887
ada,1041.6666666666665,1159.4393554038024,4,16.0,127,45,13.926660056448453,82,-5.698296916297302
ada,1041.6666666666665,1163.3127283141587,4,16.5,122,43,14.314019217271738,79,-5.723925291500338
ada,1041.6666666666665,1203.1863041955107,4,17.0,114,43,14.552333835359203,71,-5.951606348238515
ada,1041.6666666666665,1170.2364913929684,4,17.5,111,40,15.067165431460023,71,-6.090846843175107
ada,1041.6666666666665,1248.278485758629,4,18.0,101,38,16.15806956399391,63,-5.805208851954591
ada,1041.6666666666665,1253.1164082857774,4,18.5,97,38,15.887918120261347,59,-5.942787801426326
ada,1041.6666666666665,1233.5557804810687,4,19.0,95,36,16.310787350944246,59,-5.993772273778368
ada,1041.6666666666665,-203.37277075800583,5,2.0,2289,588,2.7371081841396605,1701,-1.65361104234693
ada,1041.6666666666665,214.03060296341104,5,2.5,1639,446,3.2648905251078784,1193,-1.8793885760559124
ada,1041.6666666666665,555.2974814103898,5,3.0,1242,353,3.9136735152916393,889,-2.0542511467801567
ada,1041.6666666666665,719.459784867549,5,3.5,978,301,4.242152908575783,677,-2.3004848458105815
ada,1041.6666666666665,885.2706084729599,5,4.0,794,257,4.67001148389949,537,-2.448644958825344
ada,1041.6666666666665,962.0085074225224,5,4.5,679,222,5.154091718135961,457,-2.5868705776885377
ada,1041.6666666666665,988.1796256703411,5,5.0,584,194,5.655380542707179,390,-2.843497947730391
ada,1041.6666666666665,982.6607834499018,5,5.5,509,169,6.176916044562192,340,-3.1212883178856083
ada,1041.6666666666665,1042.618068743104,5,6.0,446,156,6.305142751542574,290,-3.2447731051639295
ada,1041.6666666666665,1011.1538594219487,5,6.5,408,143,6.506198258552836,265,-3.4688018549098385
ada,1041.6666666666665,1067.004991297138,5,7.0,361,130,6.8822627645367795,231,-3.5830699917430437
ada,1041.6666666666665,1071.450678167178,5,7.5,331,116,7.229062801240694,215,-3.568002822217406
ada,1041.6666666666665,1133.5804525447018,5,8.0,301,108,7.765813831104804,193,-3.653510058106823
ada,1041.6666666666665,1148.7969789219464,5,8.5,276,100,8.160493454532554,176,-3.7912066280187986
ada,1041.6666666666665,1179.0112943101544,5,9.0,257,89,9.033625298216778,168,-3.720127126375832
ada,1041.6666666666665,1134.5535955625917,5,9.5,241,83,9.039081439397926,158,-3.896773189287562
ada,1041.6666666666665,1191.4385506167366,5,10.0,221,71,10.940498601926171,150,-3.9022456674668144
ada,1041.6666666666665,1171.5297694186704,5,10.5,208,67,11.149927693067612,141,-4.081669404374881
ada,1041.6666666666665,1165.0443234633678,5,11.0,196,64,11.307748463619173,132,-4.232208925820133
ada,1041.6666666666665,1135.7193087716691,5,11.5,187,60,11.681975401721026,127,-4.450387522295998
ada,1041.6666666666665,1235.5387488100698,5,12.0,170,59,12.532845660848965,111,-4.5396319385587205
ada,1041.6666666666665,1232.6459569887036,5,12.5,159,58,12.492466944084132,101,-4.870466591764102
ada,1041.6666666666665,1216.8488232042068,5,13.0,153,56,12.675800305538852,97,-5.08243292686566
ada,1041.6666666666665,1253.0552905442516,5,13.5,144,51,13.827546182338535,93,-4.861823276935639
ada,1041.6666666666665,1223.4356856154473,5,14.0,139,50,13.687966326519287,89,-5.179355401241776
ada,1041.6666666666665,1194.0084246819238,5,14.5,134,47,14.153115406522527,87,-5.415954016375129
ada,1041.6666666666665,1200.6447560403947,5,15.0,127,44,14.84809348654864,83,-5.453871775515013
ada,1041.6666666666665,1206.6527666497645,5,15.5,123,43,15.061588713023305,80,-5.51244435012797
ada,1041.6666666666665,1200.1266389700013,5,16.0,118,40,15.828860482258445,78,-5.551638209235097
ada,1041.6666666666665,1219.45443311189,5,16.5,114,38,17.0322056675885,76,-5.628544503374646
ada,1041.6666666666665,1219.432723770591,5,17.0,107,39,16.02404357070662,68,-5.963308463043632
ada,1041.6666666666665,1230.1258868381537,5,17.5,100,37,16.096986842930963,63,-5.800994069052245
ada,1041.6666666666665,1300.0589544322138,5,18.0,91,36,17.335112655141867,55,-5.891001839143516
ada,1041.6666666666665,1286.3418053925552,5,18.5,89,32,19.27308968093901,57,-5.796439726271817
ada,1041.6666666666665,1282.303822443817,5,19.0,85,30,20.753489427348203,55,-6.187288370484157
ada,1041.6666666666665,-180.49892665929448,6,2.0,2274,585,2.7840831983515963,1689,-1.6632253390734044
ada,1041.6666666666665,201.48047780236814,6,2.5,1646,438,3.370338690216537,1208,-1.8830528712851613
ada,1041.6666666666665,530.5245687512472,6,3.0,1230,341,4.018302835905108,889,-2.0694226077529785
ada,1041.6666666666665,728.5312465586942,6,3.5,957,291,4.363053989742739,666,-2.31399018687154
ada,1041.6666666666665,960.5941991514751,6,4.0,764,257,4.693171107614836,507,-2.4567076439951454
ada,1041.6666666666665,979.1782532783558,6,4.5,656,220,5.2120010868014575,436,-2.677665105087079
ada,1041.6666666666665,1009.0070638440334,6,5.0,563,187,5.807395271384114,376,-2.864297478470203
ada,1041.6666666666665,1019.941243136268,6,5.5,490,164,6.279650572950341,326,-3.0979185608208217
ada,1041.6666666666665,1034.8898217386236,6,6.0,429,150,6.430025616263574,279,-3.331949894985345
ada,1041.6666666666665,990.8276968033197,6,6.5,391,137,6.510900829406985,254,-3.5478965229348005
ada,1041.6666666666665,1064.555019682237,6,7.0,348,128,6.789772960212771,220,-3.656981451022714
ada,1041.6666666666665,1137.4485501579247,6,7.5,309,118,7.061210210416936,191,-3.64279714487578
ada,1041.6666666666665,1086.9642868169376,6,8.0,293,104,7.68125171009929,189,-3.7665920160496666
ada,1041.6666666666665,1147.71740306389,6,8.5,263,98,8.03825258746179,165,-3.8789778818628267
ada,1041.6666666666665,1179.8253222645099,6,9.0,241,86,9.027120279341005,155,-3.8484323984439794
ada,1041.6666666666665,1172.390983557032,6,9.5,223,79,9.41728021940371,144,-3.9692649567768097
ada,1041.6666666666665,1153.4401824739223,6,10.0,211,68,10.89672079522439,143,-4.108649172037314
ada,1041.6666666666665,1125.7124215513713,6,10.5,200,66,10.66051037685878,134,-4.312546741203778
ada,1041.6666666666665,1201.6718602545177,6,11.0,184,62,11.715957231197871,122,-4.30096301704713
ada,1041.6666666666665,1219.89604282758,6,11.5,173,58,12.574324505483004,115,-4.42969372600377
ada,1041.6666666666665,1235.245095741094,6,12.0,161,56,13.04354988777468,105,-4.716130456897975
ada,1041.6666666666665,1226.8698848394115,6,12.5,152,55,12.885195984261172,97,-4.967174167989211
ada,1041.6666666666665,1212.6559024826258,6,13.0,146,51,13.452933829377258,95,-4.983618134901214
ada,1041.6666666666665,1227.1805399402945,6,13.5,137,49,14.144570751627795,88,-5.294357123743964
ada,1041.6666666666665,1234.9116107459279,6,14.0,129,47,14.396837557427965,82,-5.38707017625838
ada,1041.6666666666665,1242.991468045466,6,14.5,124,44,15.030567609090959,80,-5.229418834431717
ada,1041.6666666666665,1267.7453129934436,6,15.0,117,42,16.040654453287043,75,-5.412828987261505
ada,1041.6666666666665,1237.0751263876996,6,15.5,112,39,16.535545368552018,73,-5.586454013504512
ada,1041.6666666666665,1258.7581987662043,6,16.0,106,38,16.536754479910858,68,-5.435859874564813
ada,1041.6666666666665,1294.1614691897153,6,16.5,98,39,16.296099666601947,59,-5.78621047131798
ada,1041.6666666666665,1290.2892892392367,6,17.0,93,37,16.407906533186146,56,-5.657200937297326
ada,1041.6666666666665,1297.8948391200147,6,17.5,88,36,16.55075647897136,52,-5.729469117749117
ada,1041.6666666666665,1283.228746267271,6,18.0,86,36,16.59766648788681,50,-6.2857449459331
ada,1041.6666666666665,1279.5411251267042,6,18.5,82,31,19.63839361858489,51,-6.45586425587113
ada,1041.6666666666665,1269.4013584655038,6,19.0,79,28,21.832518393482623,51,-6.70410110886294
ada,1041.6666666666665,-161.18682215717394,7,2.0,2275,583,2.813960830833113,1692,-1.6558664223007564
ada,1041.6666666666665,189.7180153680849,7,2.5,1638,436,3.363107539731679,1202,-1.8940073809941156
ada,1041.6666666666665,556.4834583489705,7,3.0,1209,339,4.008294811906256,870,-2.071641934353164
ada,1041.6666666666665,773.8867826292528,7,3.5,931,287,4.406886325654326,644,-2.315045951604877
ada,1041.6666666666665,902.3807309162282,7,4.0,769,249,4.843521762981762,520,-2.507031130896601
ada,1041.6666666666665,1011.1151901110278,7,4.5,636,210,5.503721118432177,426,-2.687009964224717
ada,1041.6666666666665,1004.592741852306,7,5.0,552,184,5.815139844682465,368,-2.8950896455686634
ada,1041.6666666666665,999.2989773390534,7,5.5,480,163,6.212234470031201,317,-3.1965149567067233
ada,1041.6666666666665,1017.708002475839,7,6.0,427,145,6.663728318769204,282,-3.3635907934244473
ada,1041.6666666666665,1019.3256962794067,7,6.5,382,133,6.790603480241258,249,-3.5494962513762283
ada,1041.6666666666665,1031.1092777402737,7,7.0,345,129,6.465971133096723,216,-3.7175972149500174
ada,1041.6666666666665,1087.310944435482,7,7.5,303,110,7.3758665851350305,193,-3.7514734711366327
ada,1041.6666666666665,1079.4853186622618,7,8.0,281,102,7.477211889229065,179,-3.8167055532910745
ada,1041.6666666666665,1139.3911930017684,7,8.5,253,92,8.166620065623494,161,-3.8008562300347446
ada,1041.6666666666665,1141.8225135356624,7,9.0,237,81,9.284905057882213,156,-3.911889718928188
ada,1041.6666666666665,1182.0036364086602,7,9.5,215,72,10.51207391146793,143,-4.020039756762444
ada,1041.6666666666665,1156.1353812321545,7,10.0,202,64,11.097103881332995,138,-4.015067153428669
ada,1041.6666666666665,1176.7587437677937,7,10.5,188,63,11.329302455899562,125,-4.295898487631028
ada,1041.6666666666665,1235.7109413113978,7,11.0,172,56,12.949829870134707,116,-4.219651132897803
ada,1041.6666666666665,1255.405435951408,7,11.5,162,54,13.687299278724504,108,-4.478784491664036
ada,1041.6666666666665,1240.5004301943204,7,12.0,152,52,13.7412615342431,100,-4.740451695863205
ada,1041.6666666666665,1233.8532680831793,7,12.5,144,51,13.663684391117245,93,-4.978436944772046
ada,1041.6666666666665,1218.0310781049895,7,13.0,138,49,14.320827634971517,89,-5.434713213579941
ada,1041.6666666666665,1229.635648361272,7,13.5,130,46,14.73465416599433,84,-5.335219562791288
ada,1041.6666666666665,1245.9635812196545,7,14.0,123,45,14.748800452807707,78,-5.355544091752484
ada,1041.6666666666665,1241.8257653721864,7,14.5,118,41,15.58468604362237,77,-5.157744966445866
ada,1041.6666666666665,1211.3093283358337,7,15.0,113,38,16.031791840327013,75,-5.305316821287903
ada,1041.6666666666665,1220.0063903227885,7,15.5,106,36,16.552682746907898,70,-5.369859836655636
ada,1041.6666666666665,1244.9377957147153,7,16.0,102,36,17.23899653313491,66,-5.691910295123341
ada,1041.6666666666665,1285.7047003065256,7,16.5,92,36,16.802298662378046,56,-5.699608063197923
ada,1041.6666666666665,1311.9933605760107,7,17.0,86,34,18.27290703931578,52,-5.947797668475492
ada,1041.6666666666665,1259.5934851817476,7,17.5,85,32,18.74979010292306,53,-6.422637700222465
ada,1041.6666666666665,1244.8613987470671,7,18.0,83,32,18.34020020574393,51,-6.706372702681157
ada,1041.6666666666665,1238.2562092669452,7,18.5,80,28,21.413197762499795,52,-6.948333232366338
ada,1041.6666666666665,1216.6121166748248,7,19.0,78,26,22.62159190218658,52,-7.145178322731287
ada,1041.6666666666665,-170.63659247084166,8,2.0,2257,578,2.8620095394472447,1679,-1.6824765373861525
ada,1041.6666666666665,178.08233568832796,8,2.5,1635,437,3.3508646655572605,1198,-1.9083852447080079
ada,1041.6666666666665,548.3968403912351,8,3.0,1214,338,4.050886407333361,876,-2.078541969506214
ada,1041.6666666666665,740.6603398528312,8,3.5,942,287,4.37389901487961,655,-2.312440728881861
ada,1041.6666666666665,933.4710590290712,8,4.0,754,247,4.9365579517660665,507,-2.5362105622428937
ada,1041.6666666666665,1023.6483922651557,8,4.5,621,206,5.6604850140876914,415,-2.7527988449082152
ada,1041.6666666666665,1048.9574635347617,8,5.0,533,179,5.9175114482915365,354,-2.853890072625489
ada,1041.6666666666665,994.1470806661638,8,5.5,470,155,6.4591530115419555,315,-3.1968940829296475
ada,1041.6666666666665,982.4224618404648,8,6.0,420,144,6.509460580010522,276,-3.4599270350762623
ada,1041.6666666666665,1038.1265627320709,8,6.5,369,131,6.834307975094341,238,-3.6015453025432245
ada,1041.6666666666665,999.013848110724,8,7.0,336,119,6.843034731539288,217,-3.757176428306231
ada,1041.6666666666665,1111.9121099566491,8,7.5,287,105,7.636677652087024,182,-3.7908738654532286
ada,1041.6666666666665,1079.8172183382944,8,8.0,270,100,7.37634361997394,170,-3.8695126097594166
ada,1041.6666666666665,1127.5947748807253,8,8.5,246,86,8.709071360655866,160,-3.883658513348
ada,1041.6666666666665,1157.1663956697914,8,9.0,226,76,9.972666513365459,150,-4.005041728973216
ada,1041.6666666666665,1140.636686637569,8,9.5,213,66,11.423775192642923,147,-4.172329769230358
ada,1041.6666666666665,1181.9099499365266,8,10.0,195,62,11.546470987791015,133,-4.014821438394859
ada,1041.6666666666665,1222.1810262669467,8,10.5,178,60,11.927253341825352,118,-4.181815035954013
ada,1041.6666666666665,1228.58153847368,8,11.0,167,55,13.033196123413788,112,-4.359323645661413
ada,1041.6666666666665,1218.5639585437975,8,11.5,157,55,12.790824055580366,102,-4.754229063854142
ada,1041.6666666666665,1210.238394480875,8,12.0,150,50,13.966434677265118,100,-4.880833393823799
ada,1041.6666666666665,1221.6104458468783,8,12.5,141,49,13.99066478114921,92,-5.042740526406879
ada,1041.6666666666665,1254.588438165093,8,13.0,130,46,15.1424867383962,84,-5.261499426203973
ada,1041.6666666666665,1219.3424500893266,8,13.5,126,44,15.008520423128628,82,-5.3784444942479634
ada,1041.6666666666665,1253.1353001240586,8,14.0,116,40,16.060091353499555,76,-5.121952026525311
ada,1041.6666666666665,1249.102840145078,8,14.5,110,40,15.602721995280394,70,-5.357229138087689
ada,1041.6666666666665,1239.3492209581896,8,15.0,106,38,16.45871032432632,68,-5.6776731083266245
ada,1041.6666666666665,1245.2533101526208,8,15.5,100,36,16.937771984973622,64,-5.695413770412936
ada,1041.6666666666665,1243.8591711540985,8,16.0,97,34,18.205956744850678,63,-5.954656478901962
ada,1041.6666666666665,1287.9521854888167,8,16.5,88,33,18.803925209565143,55,-6.046860844124233
ada,1041.6666666666665,1254.910730208894,8,17.0,85,33,18.086766916237423,52,-6.576011115902713
ada,1041.6666666666665,1252.0260846304734,8,17.5,83,32,18.561487172374854,51,-6.704735389912209
ada,1041.6666666666665,1242.3004893020818,8,18.0,80,28,21.382887773637606,52,-6.8542378530725205
ada,1041.6666666666665,1203.2254808217447,8,18.5,80,26,22.499816592614938,54,-7.069810196041563
ada,1041.6666666666665,1177.1799165093014,8,19.0,78,26,22.05577003270059,52,-7.620578929632969
ada,1041.6666666666665,-139.4844504452838,9,2.0,2261,582,2.898744135228011,1679,-1.6834744116426368
ada,1041.6666666666665,214.39868037447835,9,2.5,1624,432,3.4733399557390867,1192,-1.9178558561281924
ada,1041.6666666666665,534.1972043636931,9,3.0,1212,339,3.993854614506792,873,-2.0844438831089462
ada,1041.6666666666665,706.8200356205946,9,3.5,941,286,4.30735912744472,655,-2.328373549356636
ada,1041.6666666666665,1012.0828455676874,9,4.0,733,236,5.234119980584369,497,-2.461105573139288
ada,1041.6666666666665,1000.9946859067655,9,4.5,618,199,5.7854578144509,419,-2.7453733154390516
ada,1041.6666666666665,1063.1670481676422,9,5.0,525,172,6.266335744903602,353,-2.8743419262203296
ada,1041.6666666666665,983.488623091966,9,5.5,473,155,6.240451458078894,318,-3.093652053176924
ada,1041.6666666666665,1024.957973276236,9,6.0,410,140,6.731310344303238,270,-3.39787212935636
ada,1041.6666666666665,1031.6630172286714,9,6.5,364,130,6.796135072763949,234,-3.640318556541212
ada,1041.6666666666665,1027.3324956989643,9,7.0,323,116,6.984446680573256,207,-3.7819484021619987
ada,1041.6666666666665,1096.927501717979,9,7.5,286,104,7.556998642433344,182,-3.7857162477752113
ada,1041.6666666666665,1080.0647831035665,9,8.0,262,91,8.067089065530357,171,-3.8247972038578673
ada,1041.6666666666665,1096.810549242818,9,8.5,242,82,8.793959397945619,160,-3.9018382586795104
ada,1041.6666666666665,1155.8872310279776,9,9.0,224,74,10.492658624753108,150,-4.137130048025014
ada,1041.6666666666665,1166.8233037527427,9,9.5,207,67,11.176283657408623,140,-4.157055009240239
ada,1041.6666666666665,1187.2729241120132,9,10.0,190,64,11.156675017260858,126,-4.180589499941918
ada,1041.6666666666665,1237.7828611336665,9,10.5,172,59,12.073837381682093,113,-4.199765879518376
ada,1041.6666666666665,1234.9155602432932,9,11.0,160,55,12.940313522197421,105,-4.540968414072048
ada,1041.6666666666665,1248.306291858114,9,11.5,152,55,13.037880176596383,97,-4.832753792316367
ada,1041.6666666666665,1183.514938481118,9,12.0,149,50,13.795039514292009,99,-5.113505426600834
ada,1041.6666666666665,1209.769945679103,9,12.5,136,46,14.346786868696263,90,-5.002025003121405
ada,1041.6666666666665,1235.349990135645,9,13.0,127,45,15.102949528389141,82,-5.418082178559349
ada,1041.6666666666665,1219.8422818771917,9,13.5,122,43,15.275109939444063,79,-5.531486652138011
ada,1041.6666666666665,1230.8715245941062,9,14.0,116,40,15.796829575005143,76,-5.276337610606578
ada,1041.6666666666665,1234.8410574939244,9,14.5,109,37,17.171817841905312,72,-5.562725036896822
ada,1041.6666666666665,1233.4320341059115,9,15.0,103,36,17.02533167351027,67,-5.663879196126231
ada,1041.6666666666665,1249.5685020066994,9,15.5,95,34,17.795719843872945,61,-5.827638896475073
