coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
eth,2327.1666666666665,868.8754343894892,3,3.0,185,82,17.503690757464824,103,-5.499293278860452,11.200857852188504,"""[3.4978044094776433, 0.15417256011315283, 11.887612387612402, 35.67886178861789, 10.081506196377509, 22.868508747570115, 2.844511918789085, 6.13145062982528, 1.8127945540233945, 4.001345510886403, 29.95076747331242, 7.434130221354026, 5.435166808430206, 2.3272945858552303, 37.30993292636975, 97.11090407881976, 1.650537634408602, 4.270042194092833, 72.0043126078152, 71.84409242749844, 73.95217024863042, 10.128976739334513, 37.08569442446906, 15.04307706867724, 30.265695376413262, 39.87328507701372, 48.913919413919416, 1.0433789954337982, 0.7485169702950525, 61.6040694827453, 7.508597588209021, 2.519419942054437, 4.980371323118219, 5.673143138219384, 0.45247849242113136, 0.7666666666666642, 5.144756648268941, 28.50091757974847, 4.401666416453987, 29.48956231291124, 12.151145079213633, 30.61416439330682, 22.70304338242232, 0.08926434030015706, 15.381365416899849, 2.4336950992029833, 3.302224226029436, 15.080617680810883, 55.721835005708094, 15.695745086112133, 1.2269124060606023, 10.707200191162817, 0.148162957133538, 8.657064887810792, 2.248368696253409, 58.051683201899415, 6.744943375698534, 3.8507895035783237, 10.171004271381735, 9.821243523316053, 3.417548420166217, 4.039644152703398, 74.79949283284415, 7.439070616313361, 13.764535258476212, 14.442729228443513, 6.3193360727642, 55.433171390798506, 6.399912289250579, 10.65089514066496, 27.124355005159952, 11.699281867145416, 9.871016740999293, 9.020151444484073, 8.162895768300992, 3.6515725654740843, 5.6429261585343085, 8.737575676934345, 2.090719545736851, 4.084270733812956, 25.692799258665318, 1.6261556538886461]""","""[-1.3150614165996983, -3.726776983828509, -5.500000000000007, -5.462153069806559, -0.8731003731003765, -3.6173275797931734, -1.6393442622950767, -4.5650406504065035, -3.6905359383402034, -6.837687469762952, -8.596346523631219, -4.357142857142856, -8.375000000000002, -9.361991757796021, -8.84882723112129, -0.8976073187895832, -1.3329738160820332, -2.3349184990366676, -4.880410905801784, -6.051301684532918, -10.0001308557969, -10.754195459032585, -6.19490916440233, -10.601719544683938, -6.260917512130578, -8.115975171512568, -5.559912702605018, -3.340335481866904, -4.594809455707922, -9.434638544084503, -4.397005239962528, -13.468845036155976, -7.980630619020967, -11.97109577221743, -5.818661164603391, -11.388888888888893, -7.5155479711793705, -7.272221351308983, -7.908393221542005, -2.091008611881482, -0.9286233200145321, -4.565224776356022, -5.211289859235862, -4.6065281719910685, -1.5029325513196528, -3.6568944636420113, -6.968486029889546, -7.314524896716673, -4.2835890044270535, -2.1150583861035273, -6.068832323681437, -1.0020189894139406, -4.083149513100552, -4.8584043553009275, -4.519521179183133, -6.065795378277155, -1.1104157008190327, -6.79891660074747, -2.2353585084059127, -2.4084561675717673, -13.101378275748909, -6.41778906104616, -2.441942657398554, -2.7316809331201224, -7.346793786350593, -6.746918065972852, -3.6913785922532396, -5.3016875294901356, -3.4175687806938826, -0.03844192273364727, -5.764065425165042, -6.647869674185457, -4.259337447223121, -10.503585514521335, -5.165561083471536, -2.636461224276062, -12.977966796474691, -8.51823322393241, -2.2301042576044976, -6.561325121325278, -9.878007699711265, -2.902113113735245, -5.387948776583581, -9.635014363230125, -5.8270161622996275, -11.517611214035409, -2.063081503535537, -6.331941852470288, -4.719664361367692, -2.6657573381800406, -13.48605791328329, -1.546285996347161, -1.6630212119209615, -0.7997076023391746, -6.02526338738773, -2.426898816210147, -4.624191297182695, -5.609077647370861, -7.645800276687871, -5.075195796569851, -3.5671911545821837, -7.083005423800912, -2.2098551581584767]"""
eth,2327.1666666666665,888.026804359858,3,3.5,147,69,19.519049126579734,78,-5.881892120181332,11.447742231954054,"""[11.887612387612402, 28.768292682926838, 6.667603356686421, 18.43447560404256, 0.7507930753194951, 4.319179195449004, 0.5385756676557842, 5.689350077468812, 25.251388542391574, 7.21717171717171, 4.522018176707576, 2.3272945858552303, 37.30993292636975, 97.11090407881976, 1.650537634408602, 4.270042194092833, 66.33042076051902, 57.5144777662875, 66.003492937637, 33.14015532863512, 15.04307706867724, 35.66003062787136, 29.03592233009709, 48.913919413919416, 1.0875664730881318, 61.6040694827453, 4.5104470796607, 2.1484733251314116, 4.2444439475920115, 0.7666666666666642, 2.0804891452648406, 28.50091757974847, 29.48956231291124, 21.3729770553118, 51.79055632073776, 20.022300926286302, 0.08926434030015706, 15.731666474188696, 0.8394097704662906, 1.2636086145497738, 2.6322064859336156, 12.914719218695515, 48.61734129400571, 15.695745086112133, 8.468266972527164, 0.148162957133538, 8.657064887810792, 57.829992762845094, 4.41241832748133, 1.1609034475223097, 3.518587949516811, 30.932098765432087, 2.357453478048159, 2.7730375426621077, 68.78320106028814, 0.6844442982167531, 8.435708917759676, 11.435903969197678, 51.83698084041817, 6.399912289250579, 54.430946291560105, 11.699281867145416, 5.015046653896064, 6.378179384203483, 6.778560414425096, 11.38429628522311, 21.537236612285852, 2.3048047644684195, 25.692799258665318]""","""[-6.5608688112373175, -0.13860731599824955, -5.554945054945045, -3.726776983828509, -8.67223198594026, -6.8716960808683405, -0.8731003731003765, -1.6393442622950767, -5.823534683635056, -9.71723482955114, -4.357142857142856, -17.89173884077281, -0.3630977670773772, -8.84882723112129, -0.8976073187895832, -3.615779917647445, -3.9679959631793116, -4.880410905801784, -3.821662626806715, -6.19490916440233, -7.215570692515936, -2.668459397230146, -3.8208407387373464, -5.365124235912626, -10.890599139357843, -11.122202172328837, -3.1613341233397594, -11.97109577221743, -5.818661164603391, -13.745192307692308, -1.0338078291814947, -8.205726204019717, -3.7258064516129146, -2.2983807408468806, -5.211289859235862, -7.183737966354415, -6.1419231957170695, -8.255685611589005, -3.5468569669923777, -1.9364569077422258, -2.2353585084059127, -2.4084561675717673, -2.066147390335454, -13.30576212525139, -7.004053541850935, -2.441942657398554, -0.03761721619636438, -3.2020035744520765, -6.746918065972852, -9.954536124794737, -5.3016875294901356, -6.647869674185457, -10.73011707710941, -11.572068841878817, -1.0350838481906468, -1.7153687841304806, -12.977966796474691, -10.457802219432041, -8.398943695145748, -6.561325121325278, -4.8461046476213765, -9.321175394466039, -10.883019470156405, -11.517611214035409, -2.314300960512269, -6.8059473715745, -4.754681495779765, -5.02617957875718, -5.437190294441878, -6.02526338738773, -2.426898816210147, -5.713787786308593, -7.645800276687871, -11.550183598531214, -3.5671911545821837, -7.083005423800912, -0.20509150837020879, -1.1268595839590594]"""
eth,2327.1666666666665,870.701822857108,3,4.0,128,59,22.112326140598462,69,-6.2887741947565425,11.224402214014141,"""[37.760869565217405, 10.536744528478676, 0.7507930753194951, 3.2870784234051285, 0.5385756676557842, 5.689350077468812, 31.5658096876272, 3.8251231527093603, 4.522018176707576, 2.3272945858552303, 35.591642173487074, 137.46402985822354, 4.270042194092833, 66.33042076051902, 57.5144777662875, 37.40846617736431, 29.999508449978922, 15.04307706867724, 0.8722730471499065, 35.66003062787136, 29.03592233009709, 38.93833943833944, 61.07106527267589, 8.692673486712419, 0.9996350445687936, 0.6383189940436726, 1.8494635703918711, 50.360905705187015, 29.48956231291124, 16.180875248650196, 51.79055632073776, 10.362036156041873, 15.731666474188696, 1.2636086145497738, 1.3690202477193367, 10.401293491042416, 48.61734129400571, 15.695745086112133, 16.500938306357014, 0.148162957133538, 8.657064887810792, 55.58982385841888, 8.966011212140614, 31.68933147909008, 0.06895395821630879, 1.721171224431191, 51.42552366175329, 26.00670034378727, 7.081941867656148, 21.592233179321678, 46.73412620404954, 6.399912289250579, 51.29412649092914, 5.015046653896064, 6.378179384203483, 3.8366183045898223, 5.886841436403911, 18.637280510811202, 17.5515999329871]""","""[-6.5608688112373175, -1.1283819165648539, -6.324175824175817, -0.0670995670995635, -3.726776983828509, -8.847978910369077, -1.789333693986105, -2.7371727324308974, -6.681172291296623, -9.71723482955114, -7.107142857142865, -20.919100186124123, -3.6723551904829335, -9.485268878718534, -5.8885808773465635, -6.579696626808158, -6.5026707487867474, -5.190680591202761, -2.987699402069597, -3.7375384510800216, -6.795054955342944, -6.067001727331378, -15.285318559556796, -11.122202172328837, -3.7094010763837457, -2.0999999999999974, -6.790692342961944, -8.706295032233593, -3.7258064516129146, -2.5204915096367366, -5.211289859235862, -8.636826318644502, -4.143101124520019, -6.1419231957170695, -1.5058260965153258, -6.349056603773585, -2.207618606088699, -4.069205229300683, -7.84281108017002, -4.481580833471137, -0.7659802659802679, -4.039177876022954, -1.6109240385809462, -7.420896676114407, -9.954536124794737, -6.643279334500872, -13.640625000000004, -18.66056703574819, -11.220556093016599, -8.501050303997577, -5.933392215386492, -1.765084824811989, -10.29837683454458, -12.445309566408238, -3.367663219632748, -6.175388112395411, -5.0579270317968525, -6.434392354384598, -9.131441939640451, -7.398916282954396, -3.200385769395628, -5.713787786308593, -7.645800276687871, -11.550183598531214, -4.958765587341502, -8.597953661065617, -2.57351555136662, -1.0302503477051579, -1.1268595839590594]"""
eth,2327.1666666666665,877.9641651354044,3,4.5,108,53,23.797047227801905,55,-6.968715235238116,11.318022611499877,"""[37.760869565217405, 10.536744528478676, 0.9221861032100829, 3.4142134877273134, 27.65425622710382, 3.8251231527093603, 0.9803710297011099, 44.42993947433879, 116.70603309415729, 4.270042194092833, 65.27667641743214, 50.48241985522234, 37.40846617736431, 70.96201020551472, 3.8370995423340943, 35.66003062787136, 29.03592233009709, 38.93833943833944, 54.60025937749402, 2.0848593121929406, 0.9996350445687936, 0.6383189940436726, 4.384172627789096, 1.2688296392137406, 50.360905705187015, 24.386838440111426, 16.180875248650196, 48.65542521994135, 10.362036156041873, 12.508084437457887, 0.8000960940591326, 2.503773584905653, 8.506912600095815, 47.02939996469966, 9.614613180515763, 16.500938306357014, 8.657064887810792, 55.58982385841888, 8.33804597369144, 30.932098765432087, 40.066769071750535, 35.58301886792452, 1.4023385435599234, 21.592233179321678, 43.08561037939846, 2.464979803875239, 50.497293775684064, 2.554642813678947, 22.836217017858253, 3.1796240532895172, 5.886841436403911, 17.823388153107256, 17.266795108058314]""","""[-6.5608688112373175, -3.816239316239315, -7.034065934065932, -0.5721500721500706, -10.616585182399403, -2.3365553602812072, -1.8885132089081231, -2.137657549515568, -3.3126773121504383, -8.631141838420737, -10.908445146014206, -7.107142857142865, -12.586922978012081, -6.579696626808158, -7.183480453972244, -14.404196693514201, -4.331884499472331, -5.421263129769722, -6.795054955342944, -19.42470410475951, -6.790692342961944, -10.29142965491088, -1.6823091519486237, -5.412381499569096, -10.302482529755249, -5.335055539503387, -12.411870688767625, -3.264647686050347, -4.587985059140898, -8.659065975377407, -0.7802241793434759, -4.481580833471137, -0.7659802659802679, -7.246778289906875, -3.9129038443102315, -6.643279334500872, -4.202482780158584, -0.09630424133912358, -18.66056703574819, -16.177363256465735, -10.084541062801932, -12.25966140142189, -4.0727305869486, -5.896311749020587, -6.434392354384598, -10.968931574270291, -5.702394122486032, -6.287192276976451, -7.645800276687871, -11.550183598531214, -8.151964488630401, -8.597953661065617, -5.892279996650747, -5.253510984874833, -1.1268595839590594]"""
eth,2327.1666666666665,871.7933815840954,3,5.0,97,43,29.178039559083754,54,-7.09004295289826,11.238473729509217,"""[37.760869565217405, 19.196969696969703, 3.4142134877273134, 27.65425622710382, 3.421182266009849, 44.42993947433879, 116.70603309415729, 4.270042194092833, 64.69494987003343, 38.9105480868666, 37.40846617736431, 65.76835255430504, 0.8616311785751558, 35.66003062787136, 29.03592233009709, 38.93833943833944, 82.8100558659218, 4.384172627789096, 1.2688296392137406, 40.93162198540647, 24.386838440111426, 15.398666290311198, 45.76392961876833, 9.537020247809002, 12.508084437457887, 86.1867924528302, 8.212871287128708, 16.178395496129482, 8.337209302325581, 65.0188246097337, 7.023764744547819, 28.043829992755356, 40.066769071750535, 35.58301886792452, 19.85448371176603, 30.96721845422847, 1.6691871455576601, 45.445945945945944, 0.8342906719320262, 20.69199159611939, 3.5046951436084006, 17.823388153107256, 14.092058971351989]""","""[-11.322033898305092, -3.816239316239315, -10.510989010989006, -10.616585182399403, -0.49097717224578685, -2.123837300961686, -2.525452590069897, -2.317714138729313, -4.852759990273155, -8.631141838420737, -10.908445146014206, -7.107142857142865, -0.33353370942385185, -12.586922978012081, -6.579696626808158, -14.404196693514201, -4.331884499472331, -6.564813755938744, -9.40850318123093, -3.7897787144362516, -6.531826431978385, -12.682481502949305, -7.174168775790923, -10.76924535456958, -3.84094802969732, -6.105010749784552, -13.7398210148837, -5.335055539503387, -13.211691491532335, -4.403204087430828, -0.1099711717822634, -12.064874639359587, -9.073941081635645, -0.7802241793434759, -4.481580833471137, -0.7659802659802679, -3.9129038443102315, -8.95761922910234, -4.202482780158584, -0.3753537259129482, -0.6424839705533182, -11.985352456515102, -12.25966140142189, -3.390353971575306, -9.192914802239569, -5.896311749020587, -7.879436141956539, -13.310171577004587, -9.335988052450581, -11.550183598531214, -8.614137953810863, -12.385248109820479, -9.425531356927348, -5.253510984874833]"""
eth,2327.1666666666665,741.7053276603453,3,5.5,92,41,28.553199719364766,51,-8.41129138889432,9.561480983947732,"""[34.09782608695652, 4.595650681993647, 5.172112115432466, 19.255828220858888, 2.475369458128075, 44.42993947433879, 108.4154929577465, 4.270042194092833, 60.26369673491977, 38.9105480868666, 37.40846617736431, 65.76835255430504, 0.8616311785751558, 35.66003062787136, 16.53883495145631, 37.44871794871794, 82.8100558659218, 1.2688296392137406, 40.93162198540647, 24.386838440111426, 11.616293839531426, 42.39149560117302, 5.644154159718355, 11.25611947002021, 86.1867924528302, 12.148395134105225, 8.830283837672997, 4.898512222977561, 65.0188246097337, 5.246843744876217, 24.40472873460517, 40.066769071750535, 35.58301886792452, 19.85448371176603, 30.96721845422847, 45.445945945945944, 0.6446468429270884, 18.47179253867152, 2.2014505149862695, 20.74147438688144, 14.092058971351989]""","""[-11.322033898305092, -4.670940170940167, -10.510989010989006, -2.397546897546897, -19.04679299297935, -3.699498117942278, -4.852759990273155, -8.631141838420737, -10.908445146014206, -7.107142857142865, -0.33353370942385185, -15.312909862414815, -8.8702865531056, -19.705982973983616, -5.092750901280149, -10.223095779508776, -9.40850318123093, -4.253424657534247, -6.531826431978385, -12.682481502949305, -4.944342731600138, -9.491288399816591, -12.149601820250284, -4.62621359223301, -13.193480962603093, -5.335055539503387, -13.211691491532335, -9.659308218820195, -0.5395681419931, -12.064874639359587, -2.4963088300656837, -5.526674123532327, -0.7659802659802679, -8.945978333812675, -9.100140852700578, -4.589387025695308, -6.289274847715482, -0.6424839705533182, -0.6606805293005714, -14.515838970466914, -4.971804126249096, -9.192914802239569, -8.354207928109027, -12.502251394626162, -14.1091614168887, -9.335988052450581, -12.585482302097953, -12.314949428628607, -12.385248109820479, -10.840047296746308, -8.073546214255586]"""
eth,2327.1666666666665,949.2051517078776,3,6.0,78,34,39.491024521102226,44,-8.942947318399957,12.236405307413735,"""[34.09782608695652, 0.7610448657459059, 5.172112115432466, 19.255828220858888, 2.475369458128075, 36.39577978608739, 108.4154929577465, 83.3607594936709, 199.66280016280015, 56.53849518810149, 1.9797345828915414, 33.60541092394078, 16.53883495145631, 23.25873918710749, 81.81245011971271, 0.6046933109210411, 40.93162198540647, 24.386838440111426, 10.0405969526195, 42.39149560117302, 4.814063368538067, 10.464518302268134, 80.30000000000001, 32.76899706912576, 4.898512222977561, 65.0188246097337, 4.59646390118598, 24.40472873460517, 147.84189899221914, 12.42874684295761, 28.311713910268445, 65.94717444717443, 18.47179253867152, 20.74147438688144]""","""[-15.350270004909179, -10.510989010989006, -4.272116065109705, -19.04679299297935, -4.371484514061947, -6.618227384835708, -9.361730058783888, -0.33353370942385185, -15.312909862414815, -22.861365263744137, -6.196148511682491, -10.223095779508776, -9.40850318123093, -8.898314014752376, -6.531826431978385, -12.682481502949305, -4.944342731600138, -9.491288399816591, -12.786689419795213, -4.62621359223301, -6.093715523109998, -13.53994308364671, -9.659308218820195, -1.41006726584138, -12.064874639359587, -3.2112449997530783, -5.526674123532327, -0.7659802659802679, -10.765185445187749, -6.962862397418324, -6.289274847715482, -3.1564037270675436, -3.46265674521152, -4.971804126249096, -12.172068387966856, -1.0553910821004564, -12.502251394626162, -16.790776618645474, -11.347704329441612, -12.585482302097953, -12.314949428628607, -13.082190519092755, -11.857003891050576, -8.073546214255586]"""
eth,2327.1666666666665,948.8969107008442,3,6.5,70,32,41.459703053277494,38,-9.942462815895665,12.232431707093887,"""[34.09782608695652, 0.7610448657459059, 5.172112115432466, 18.395705521472383, 36.39577978608739, 108.4154929577465, 69.40506329113924, 219.50407000407, 51.50787401574804, 0.36876218490269874, 26.832184788157228, 12.988731147973109, 23.25873918710749, 74.5255164034022, 40.93162198540647, 23.159470752089145, 11.43462026208257, 38.59090909090909, 1.9654614932392631, 7.702335504154494, 80.30000000000001, 32.76899706912576, 13.719251127154845, 69.62012012012013, 4.1728971962616885, 22.356797874909436, 147.84189899221914, 12.42874684295761, 28.311713910268445, 63.7756680731364, 26.67087173317994, 19.330213321723985]""","""[-12.052937326133197, -10.510989010989006, -4.272116065109705, -19.04679299297935, -4.371484514061947, -6.618227384835708, -9.499976765259408, -1.858153670813949, -0.33353370942385185, -15.312909862414815, -22.861365263744137, -13.104340567612683, -12.031709867782178, -8.898314014752376, -8.095711451606096, -13.36579383605669, -7.224153337503344, -9.491288399816591, -5.799846739506599, -8.644347228516644, -15.782934798752414, -10.72519462876848, -1.41006726584138, -12.749506068303695, -6.360816475111624, -10.765185445187749, -6.962862397418324, -7.951504393408956, -3.3242375137450186, -3.46265674521152, -15.728503686946693, -5.802247160181065, -18.955207893028646, -11.347704329441612, -13.766192469330887, -14.028299221994303, -17.22292828818897, -8.073546214255586]"""
eth,2327.1666666666665,908.7438745855795,3,7.0,66,30,42.13076833571199,36,-9.86608820793834,11.714810386407242,"""[32.750000000000014, 5.172112115432466, 16.50245398773006, 36.39577978608739, 104.42585727525487, 63.860497153003095, 219.50407000407, 51.50787401574804, 26.832184788157228, 12.988731147973109, 23.25873918710749, 67.96415552855407, 37.02517432269684, 23.159470752089145, 8.384035507961121, 34.382265953816415, 1.9654614932392631, 7.702335504154494, 80.30000000000001, 27.148065730914062, 10.837522606281118, 63.889190105049124, 0.004648074369183797, 20.775054334701753, 147.84189899221914, 10.186165572770465, 20.576683013820784, 63.45759717314486, 26.67087173317994, 18.4541542118342]""","""[-13.462962962962958, -14.012370480016921, -4.272116065109705, -19.04679299297935, -0.9889765805953538, -4.924387222369702, -6.80917336303605, -1.858153670813949, -0.33353370942385185, -17.915941002458226, -2.3665139314713186, -26.434441880817896, -13.104340567612683, -13.09594095940959, -8.898314014752376, -8.095711451606096, -13.36579383605669, -7.7133333333333285, -9.491288399816591, -5.799846739506599, -9.17177967578873, -15.782934798752414, -11.242463033596309, -1.7040020349330143, -6.698205104016478, -10.899082943345451, -8.921946662136918, -7.951504393408956, -8.311883976344694, -6.822952814457622, -15.728503686946693, -5.802247160181065, -11.347704329441612, -14.028299221994303, -17.22292828818897, -11.552804198097736]"""
eth,2327.1666666666665,919.746523464253,3,7.5,62,30,41.96948765588056,32,-10.60431581913011,11.856647871056762,"""[27.46739130434783, 5.172112115432466, 16.50245398773006, 2.3682685915091617, 36.39577978608739, 94.29813664596271, 63.860497153003095, 218.46551724137933, 51.50787401574804, 26.832184788157228, 12.988731147973109, 22.853845063602126, 67.96415552855407, 37.02517432269684, 17.205431754874656, 7.9713644020213525, 32.56791036287113, 7.702335504154494, 79.53773584905662, 27.148065730914062, 9.807353504404443, 63.889190105049124, 0.004648074369183797, 19.688360299444568, 178.1328382844147, 10.186165572770465, 18.546575342465754, 58.93516121440339, 26.67087173317994, 17.38850024983938]""","""[-11.161157024793383, -14.763057728906746, -5.34954513645906, -19.04679299297935, -0.9889765805953538, -5.30345496210118, -7.01603150608641, -18.815903504020657, -5.507829940359168, -13.104340567612683, -13.09594095940959, -9.955462044829606, -8.095711451606096, -15.7138635562914, -8.982377695949497, -9.491288399816591, -5.916748963065375, -1.6087344028520547, -11.664371622799361, -15.782934798752414, -13.21226291864778, -5.1690407551862485, -10.939176697752762, -17.28877956876701, -8.921946662136918, -8.311883976344694, -6.822952814457622, -15.728503686946693, -5.802247160181065, -17.00105564617001, -17.22292828818897, -11.552804198097736]"""
