,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
156,eth,2327.1666666666665,3652.230243904535,7,11.0,24,16,235.8288508007632,8,-15.128921113459675,47.08167613713502,"""[8.499897844519362, 0.752176797412734, 2965.293098492017, 22.5174081237911, 154.1306667452691, 32.7802890198271, 1.174507045489935, 5.650192449430846, 58.471166448230676, 56.66115934806227, 40.50129225679288, 32.150055235055845, 306.47554697554693, 38.33455789206993, 40.00547497939158, 9.864123159303892]""","""[-30.123526429205228, -10.955001672800268, -16.89817263765328, -10.986545186670318, -11.147976725733944, -14.15333333333333, -26.560345092732142, -0.2064678295489113]"""
261,eth,2327.1666666666665,3645.477577320077,10,11.0,21,15,248.678336790763,6,-14.11624575689479,46.99462607731963,"""[9.669659688461143, 0.752176797412734, 2965.293098492017, 20.670553269318702, 132.86084419029655, 20.896008509776106, 8.050779050122019, 98.16513799033659, 54.34713690602274, 40.50129225679288, 31.164230019493164, 266.76491405460064, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-11.984084332368756, -18.415290114542326, -13.888547558848748, -13.64273961332785, -26.560345092732142, -0.2064678295489113]"""
157,eth,2327.1666666666665,3642.402948229789,7,11.5,22,14,265.4447788160341,8,-9.227994399336048,46.95499038038832,"""[9.669659688461143, 2965.293098492017, 22.5174081237911, 152.83137829912025, 25.075929490426493, 5.650192449430846, 58.471166448230676, 53.03151862464185, 40.50129225679288, 32.150055235055845, 269.9959836797144, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-10.955001672800268, -0.5746330541504152, -17.361024284683815, -13.888547558848748, -2.437837690411718, -11.147976725733944, -14.556693916551646, -2.90224029150782]"""
226,eth,2327.1666666666665,3637.4905368804166,9,11.0,22,14,267.07460670816886,8,-12.694244629243428,46.89166344184452,"""[9.669659688461143, 2965.293098492017, 20.670553269318702, 132.86084419029655, 25.075929490426493, 8.83921531819034, 98.16513799033659, 55.769328882521506, 40.50129225679288, 31.164230019493164, 269.9959836797144, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-11.984084332368756, -0.5746330541504152, -17.361024284683815, -13.888547558848748, -11.543235557427986, -16.739846862227736, -26.560345092732142, -2.90224029150782]"""
159,eth,2327.1666666666665,3586.082057761828,7,12.5,21,13,282.39337154947964,8,-10.628971547675825,46.22894581373122,"""[9.669659688461143, 2961.222488038278, 12.431066973203182, 128.4738546968996, 20.896008509776106, 3.9140529031201385, 58.471166448230676, 42.909742120343836, 100.13234843289945, 266.76491405460064, 21.8369075057621, 37.88006614981165, 6.51155462184874]""","""[-12.677985948477748, -0.5746330541504152, -18.50913681173359, -13.888547558848748, -5.749689170912012, -14.865432692307692, -15.864106853468549, -2.90224029150782]"""
158,eth,2327.1666666666665,3575.220508671808,7,12.0,22,14,260.95268163950067,8,-9.764629285150155,46.08892727643955,"""[9.669659688461143, 2965.293098492017, 13.674668495656146, 128.4738546968996, 20.896008509776106, 3.9140529031201385, 58.471166448230676, 42.909742120343836, 34.40593121239963, 31.164230019493164, 269.1382231720348, 29.698416675017537, 37.88006614981165, 7.748424369747909]""","""[-10.955001672800268, -0.5746330541504152, -17.851927546685896, -13.888547558848748, -2.437837690411718, -13.64273961332785, -15.864106853468549, -2.90224029150782]"""
262,eth,2327.1666666666665,3386.130913737874,10,11.5,18,13,263.9942145031864,5,-9.158774960709824,43.65133312846934,"""[9.669659688461143, 2666.3315586484446, 19.35075189386802, 131.6700879765396, 19.28522946003445, 5.134196312162425, 91.04860371795922, 50.830932711996056, 100.13234843289945, 266.76491405460064, 21.8369075057621, 40.00547497939158, 9.864123159303892]""","""[-14.785714285714286, -0.5746330541504152, -13.888547558848748, -13.64273961332785, -2.90224029150782]"""
331,eth,2327.1666666666665,3346.755291924768,12,11.0,21,15,229.1917183777745,6,-15.186747290308196,43.1437336207447,"""[26.496725865661276, 0.752176797412734, 2666.3315586484446, 22.303630044410124, 131.6700879765396, 20.896008509776106, 6.731314360216066, 98.16513799033659, 52.688576205606154, 34.40593121239963, 29.630493364418616, 266.76491405460064, 31.169622498099823, 40.00547497939158, 9.864123159303892]""","""[-14.785714285714286, -17.95830778056935, -15.271136677997736, -13.64273961332785, -26.560345092732142, -2.90224029150782]"""
366,eth,2327.1666666666665,3333.7372041026124,13,11.0,20,12,286.0621884287445,8,-12.376132130290175,42.97591468441383,"""[24.830461176931376, 2666.3315586484446, 20.670553269318702, 122.66715542521995, 20.896008509776106, 98.16513799033659, 50.830932711996056, 100.13234843289945, 248.65409016629823, 29.698416675017537, 40.00547497939158, 9.864123159303892]""","""[-16.336734693877546, -0.5746330541504152, -18.415290114542326, -15.271136677997736, -2.437837690411718, -16.510839427101722, -26.560345092732142, -2.90224029150782]"""
227,eth,2327.1666666666665,3332.818204435513,9,11.5,20,14,242.6045719132678,6,-10.60763372503917,42.96406766442687,"""[9.669659688461143, 2666.3315586484446, 12.431066973203182, 131.6700879765396, 25.075929490426493, 5.134196312162425, 91.04860371795922, 53.03151862464185, 34.40593121239963, 31.164230019493164, 266.76491405460064, 23.21928046617684, 40.00547497939158, 6.51155462184874]""","""[-14.785714285714286, -0.5746330541504152, -17.851927546685896, -13.888547558848748, -13.64273961332785, -2.90224029150782]"""
