,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
264,btc,3739.333333333333,1598.676269644429,11,19.5,68,40,45.29475066927374,28,-7.611205611661432,12.825892696380697,"""[24.784738041002285, 25.570038910505854, 23.860902255639086, 20.804347826086968, 2.1086956521739193, 19.18721251149955, 63.13636363636363, 29.290209790209772, 157.69265143992055, 15.779069767441857, 519.1344202617921, 21.608503910800458, 10.86892916119744, 16.190252583730015, 22.260813730686134, 21.830822744782385, 0.0461710414122104, 35.86501374429125, 0.3084239130434767, 6.768425148084035, 23.404017827534528, 8.001197584962304, 12.309613572101798, 112.41880523122465, 52.557121933357735, 33.71760843640484, 87.61651319828115, 8.558385118894297, 10.325849658396363, 106.86425432011139, 9.610383412568664, 2.3025261188587356, 24.583377994119537, 26.82276443182749, 13.870334178323617, 167.29433594424245, 17.543057177321106, 35.14779755967209, 21.583556014989018, 0.16252098709496843]""","""[-5.905405405405394, -9.892423159399572, -9.01609892673823, -5.73923444976076, -1.3583690987124433, -5.709923664122143, -18.80985915492958, -13.709509052356879, -10.244088411434216, -17.533446437227344, -8.825721347590136, -4.9855549923973665, -10.677915594554765, -1.0171413435584398, -0.32652732894055636, -8.31694421373522, -7.811746527710481, -2.8387202732886605, -8.189819753390479, -6.618105488611511, -4.1270650122969625, -1.705837760010466, -3.1470754716981144, -8.188109746138077, -7.818997675622923, -16.533641928501048, -4.633255827320957, -9.433219081067366]"""
263,btc,3739.333333333333,1589.9973222959854,11,19.0,72,41,44.68739438039003,31,-7.812446687096975,12.756263059960665,"""[24.784738041002285, 25.570038910505854, 24.048192771084338, 20.804347826086968, 3.8478260869565215, 19.18721251149955, 63.13636363636363, 29.290209790209772, 157.69265143992055, 15.779069767441857, 519.1344202617921, 21.608503910800458, 10.86892916119744, 16.280395691172064, 22.91995245511928, 21.830822744782385, 0.0461710414122104, 35.86501374429125, 0.3084239130434767, 6.768425148084035, 0.6695415564975329, 25.596363153703216, 8.24004424778761, 12.622005160339123, 119.7295178735742, 52.557121933357735, 38.21701682649812, 90.414671577655, 10.159261148079741, 10.325849658396363, 106.86425432011139, 12.164002357151702, 2.3025261188587356, 16.128447204968946, 16.31787269346141, 14.036766084268248, 179.4703115830249, 19.184830523408753, 35.14779755967209, 22.1007381753155, 0.16252098709496843]""","""[-5.905405405405394, -12.447245927075258, -8.504935046084613, -9.01609892673823, -0.4641148325358838, -1.3583690987124433, -5.709923664122143, -18.80985915492958, -12.830778013374657, -9.960045202637854, -16.910567135239948, -8.58619528619528, -4.9855549923973665, -9.60690330100503, -0.6999240794634857, -8.31694421373522, -6.820926420336405, -2.162131038632741, -8.189819753390479, -6.618105488611511, -4.1270650122969625, -1.705837760010466, -2.750266885289998, -8.188109746138077, -14.168155784650624, -8.197504771652422, -7.127898614007873, -7.818997675622923, -16.13168916132502, -4.633255827320957, -9.433219081067366]"""
265,btc,3739.333333333333,1565.2032281889262,11,20.0,68,38,47.17185380148455,30,-7.57757387558288,12.557344494295185,"""[24.784738041002285, 25.325242718446603, 22.200296735905034, 20.804347826086968, 2.1086956521739193, 18.17525298988042, 62.7801161103048, 29.290209790209772, 157.69265143992055, 15.548403094624092, 517.2683397683397, 21.608503910800458, 10.291912384161742, 15.895756694328004, 22.260813730686134, 21.830822744782385, 35.86501374429125, 0.3084239130434767, 6.768425148084035, 23.259555891198648, 5.405494505494507, 11.5961357210179, 112.41880523122465, 48.40186744782132, 33.71760843640484, 87.61651319828115, 8.558385118894297, 10.169946561877799, 106.86425432011139, 9.610383412568664, 1.4551022031816432, 24.583377994119537, 26.82276443182749, 13.870334178323617, 167.29433594424245, 14.955582062012931, 35.14779755967209, 19.974233801066294]""","""[-5.905405405405394, -13.57487380818844, -9.490511743661546, -5.73923444976076, -1.5600706713780863, -5.709923664122143, -19.326760563380276, -13.709509052356879, -11.5714779908058, -17.533446437227344, -9.26447153819416, -4.9855549923973665, -10.677915594554765, -1.0171413435584398, -0.34619975667423825, -0.5460649376029538, -10.455032317636189, -7.811746527710481, -2.981976426309959, -8.365880656114467, -6.618105488611511, -4.176160516133793, -1.705837760010466, -4.275890874105867, -9.204537462456846, -8.498710614599554, -16.79396610169492, -4.8365768332861485, -0.4707959752639055, -10.173436764283645]"""
333,btc,3739.333333333333,1547.628005576241,13,19.0,68,36,51.44496819409432,32,-9.512214044098547,12.416341638604184,"""[25.81578947368422, 24.048192771084338, 20.804347826086968, 1.7608695652173894, 15.716216216216225, 168.87590711175616, 157.69265143992055, 15.548403094624092, 517.2683397683397, 21.608503910800458, 6.90943555181129, 16.280395691172064, 22.260813730686134, 21.830822744782385, 0.0461710414122104, 35.86501374429125, 11.299082117165037, 22.00491803278689, 8.121089735798185, 11.099669706864832, 113.04537405163285, 52.557121933357735, 37.53281534855456, 87.61651319828115, 9.909836171669616, 10.325849658396363, 106.86425432011139, 9.610383412568664, 2.3025261188587356, 15.182857142857134, 26.82276443182749, 14.036766084268248, 167.29433594424245, 17.201408056170013, 35.00398174737786, 21.855434092720582]""","""[-66.83333333333333, -6.870656370656373, -9.892423159399572, -9.01609892673823, -7.507864772860663, -2.6253985122210417, -5.709923664122143, -20.26338028169015, -13.709509052356879, -9.960045202637854, -18.095734367426083, -9.427618234226536, -4.9855549923973665, -10.677915594554765, -1.8828802920803152, -0.1364620145077058, -2.472293010898453, -8.777008310249304, -6.820926420336405, -2.8387202732886605, -8.81553989634863, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -3.553610097280751, -8.188109746138077, -8.197504771652422, -7.818997675622923, -16.533641928501048, -5.348703341568948, -1.108698954908156, -12.72593140190667]"""
368,btc,3739.333333333333,1530.3963708104684,14,19.0,66,35,52.6337192322636,31,-10.057542010282493,12.27809532652364,"""[19.05719557195573, 24.048192771084338, 20.804347826086968, 1.7608695652173894, 12.657894736842103, 166.74262059035274, 126.13356504468717, 15.548403094624092, 517.2683397683397, 21.608503910800458, 6.90943555181129, 14.181773314450039, 72.98444698112439, 0.0461710414122104, 35.86501374429125, 11.299082117165037, 22.00491803278689, 8.001197584962304, 11.099669706864832, 113.04537405163285, 48.40186744782132, 38.21701682649812, 84.27593615715162, 8.558385118894297, 9.412007665480337, 106.86425432011139, 8.728751797156608, 2.3025261188587356, 22.924414473586992, 27.726473235827786, 14.036766084268248, 178.56213123078783, 19.184830523408753, 31.462883888238444, 20.45491323464371]""","""[-69.16666666666667, -6.870656370656373, -3.8203124999999987, -11.872408863473918, -9.01609892673823, -7.507864772860663, -2.6461963450913837, -7.1704246523863215, -20.26338028169015, -13.709509052356879, -9.960045202637854, -18.643480368395544, -9.427618234226536, -5.48319327731093, -11.079091406677612, -1.8828802920803152, -0.9093959731543716, -2.472293010898453, -9.05573179072835, -6.820926420336405, -6.821178120617108, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -4.566250487343169, -8.188109746138077, -7.818997675622923, -16.79396610169492, -8.991936867872496, -4.502892697950834, -12.72593140190667]"""
403,btc,3739.333333333333,1523.8875237754742,15,19.0,65,35,52.410453217642406,30,-10.34927796140033,12.225876015314022,"""[25.81578947368422, 24.048192771084338, 20.804347826086968, 0.3695652173913012, 11.091695501730102, 166.74262059035274, 126.13356504468717, 15.548403094624092, 516.6488081462625, 18.808943089430894, 6.90943555181129, 16.280395691172064, 72.89961696752374, 0.0461710414122104, 33.93431960347179, 9.906377538867092, 22.00491803278689, 8.001197584962304, 9.559865630747291, 113.04537405163285, 48.40186744782132, 37.53281534855456, 84.27593615715162, 10.159261148079741, 9.088673272144392, 106.86425432011139, 8.728751797156608, 1.4551022031816432, 21.861212831404707, 27.726473235827786, 13.870334178323617, 178.56213123078783, 17.543057177321106, 30.960799113024976, 18.73559070687099]""","""[-69.16666666666667, -6.870656370656373, -10.976534296028886, -9.10942603826412, -7.507864772860663, -2.3065887353878733, -7.1704246523863215, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.979623824451416, -11.84385378454058, -1.8828802920803152, -0.9093959731543716, -2.472293010898453, -9.05573179072835, -6.820926420336405, -6.56334637989545, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -4.275890874105867, -9.204537462456846, -7.818997675622923, -16.853681067007763, -8.991936867872496, -4.883515558541009, -12.72593140190667]"""
334,btc,3739.333333333333,1519.655696208308,13,19.5,67,35,52.2256849268196,32,-9.632602382199316,12.191924822494896,"""[25.570038910505854, 24.048192771084338, 20.804347826086968, 1.3260869565217464, 15.19506726457399, 166.74262059035274, 157.69265143992055, 15.341584158415841, 516.6488081462625, 18.808943089430894, 5.830011258913308, 16.190252583730015, 22.260813730686134, 21.830822744782385, 33.93431960347179, 11.299082117165037, 22.00491803278689, 7.523076923076921, 11.099669706864832, 112.41880523122465, 48.40186744782132, 33.71760843640484, 82.59002433090025, 8.558385118894297, 9.506576769173373, 106.86425432011139, 8.728751797156608, 1.4551022031816432, 24.583377994119537, 26.82276443182749, 14.036766084268248, 167.29433594424245, 14.955582062012931, 34.165019461428415, 19.648442951285702]""","""[-66.83333333333333, -6.870656370656373, -11.632922041503072, -9.490511743661546, -7.507864772860663, -2.822621699013694, -5.709923664122143, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.48319327731093, -11.079091406677612, -1.8828802920803152, -0.34619975667423825, -0.1364620145077058, -2.472293010898453, -9.911993226144457, -8.365255638324353, -2.981976426309959, -8.81553989634863, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -5.8930383657919805, -8.188109746138077, -7.818997675622923, -16.79396610169492, -6.284180487727861, -1.108698954908156, -12.72593140190667]"""
369,btc,3739.333333333333,1500.2098381754704,14,19.5,65,34,53.47257443766722,31,-10.253473958232735,12.0359141946686,"""[25.81578947368422, 24.048192771084338, 20.804347826086968, 1.7608695652173894, 12.30701754385964, 166.74262059035274, 126.13356504468717, 15.341584158415841, 516.6488081462625, 18.808943089430894, 5.830011258913308, 14.181773314450039, 72.98444698112439, 33.93431960347179, 11.14027885852217, 22.00491803278689, 7.523076923076921, 11.099669706864832, 112.41880523122465, 48.40186744782132, 33.71760843640484, 84.27593615715162, 8.558385118894297, 8.753181055312867, 106.86425432011139, 8.728751797156608, 1.4551022031816432, 22.924414473586992, 26.82276443182749, 13.870334178323617, 165.85315824570216, 17.201408056170013, 31.462883888238444, 19.648442951285702]""","""[-69.16666666666667, -7.642857142857146, -11.93571428571429, -9.490511743661546, -7.507864772860663, -3.132413574373622, -7.1704246523863215, -20.26338028169015, -13.709509052356879, -11.224208186701244, -18.643480368395544, -9.650692225772099, -5.48319327731093, -11.079091406677612, -1.8828802920803152, -0.34619975667423825, -0.9093959731543716, -3.437428834788276, -9.911993226144457, -7.4869987975505605, -7.287762239226082, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -5.8930383657919805, -9.204537462456846, -7.818997675622923, -17.380703804735663, -8.991936867872496, -4.883515558541009, -12.72593140190667]"""
475,btc,3739.333333333333,1496.4496028625942,17,20.0,60,32,56.319376324783526,28,-10.920372840374226,12.00574650183932,"""[24.791828793774336, 24.048192771084338, 16.782608695652172, 220.60726643598613, 126.13356504468717, 22.79389393619269, 505.5681818181818, 18.808943089430894, 3.5775510204081673, 12.824851569126384, 70.29394701610613, 33.93431960347179, 15.749205765307842, 20.33605486610059, 7.523076923076921, 7.703874538745394, 108.50594732370433, 48.40186744782132, 32.47902439797284, 76.32638577437304, 8.558385118894297, 1.712697957541701, 102.87091534492644, 8.728751797156608, 0.9929367276900329, 20.196157920280793, 23.91404849748249, 13.181803847366753, 163.96748781864204, 13.459600943170583, 29.506085533929394, 17.940584054787447]""","""[-71.83333333333333, -7.642857142857146, -1.8043478260869596, -15.088992137240893, -10.664010164010165, -9.640956531712352, -7.1704246523863215, -22.473239436619718, -13.882808677214166, -12.39494813293903, -11.341449366425795, -9.112617052735338, -11.84385378454058, -2.7700237906423397, -0.34619975667423825, -3.437428834788276, -12.65322943878929, -8.365255638324353, -7.616226743595835, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -5.8930383657919805, -9.204537462456846, -8.498710614599554, -9.942634393375755, -5.827020040187287, -12.72593140190667]"""
438,btc,3739.333333333333,1484.3076277576909,16,19.0,66,34,53.05359913792891,32,-9.984835716621626,11.908333615456604,"""[21.304511278195488, 24.048192771084338, 20.804347826086968, 0.3695652173913012, 11.091695501730102, 166.74262059035274, 126.13356504468717, 15.341584158415841, 505.5681818181818, 18.808943089430894, 6.90943555181129, 13.599060631938531, 74.87916254533468, 35.86501374429125, 9.906377538867092, 22.00491803278689, 8.24004424778761, 9.559865630747291, 111.55068528575124, 48.40186744782132, 38.86014182517671, 82.59002433090025, 10.159261148079741, 9.088673272144392, 106.86425432011139, 9.610383412568664, 1.4551022031816432, 21.861212831404707, 25.24073997207914, 13.870334178323617, 165.85315824570216, 17.543057177321106, 30.960799113024976, 18.73559070687099]""","""[-69.16666666666667, -6.870656370656373, -3.8203124999999987, -10.515240583496624, -9.10942603826412, -7.507864772860663, -2.3065887353878733, -7.1704246523863215, -20.26338028169015, -13.709509052356879, -11.5714779908058, -19.13790596219099, -9.990464443913949, -6.603637269556559, -11.84385378454058, -2.2073353106851687, -0.34619975667423825, -0.9093959731543716, -3.437428834788276, -9.911993226144457, -6.820926420336405, -7.287762239226082, -6.618105488611511, -5.2724215626221635, -1.705837760010466, -4.566250487343169, -9.204537462456846, -7.818997675622923, -16.853681067007763, -8.991936867872496, -5.248592292655494, -12.72593140190667]"""
