,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
129,btc,3857.833333333333,2169.8319915580632,6,11.0,45,26,90.63895301620376,19,-9.830567729643958,16.87345048949978,"""[13.395216400911169, 23.47660818713451, 13.233905579399142, 15.135179153094457, 568.4246401354783, 14.2664906285596, 540.813608550848, 15.664193423281827, 10.180062476254808, 68.48380566801619, 6.751720747295968, 33.179847075753344, 40.68066561014263, 18.879041308181485, 106.28944614189977, 42.20633697735328, 190.62830144074806, 4.696257341824239, 0.013493248235467159, 169.32460769681126, 0.6539671614191829, 15.582457414012612, 43.94660953533091, 366.56062302397646, 25.490536373766947, 8.655157121568246]""","""[-5.538759689922476, -2.2647058823529385, -1.0102040816326574, -11.65762827378054, -16.43796573654622, -17.96641074856046, -11.911075364075778, -9.565883162603562, -9.272366689196408, -8.110861983059298, -1.2865093647937123, -16.94566001021915, -9.858494867633247, -7.430043554743011, -7.128086131799355, -11.711497860226384, -14.784437900437387, -7.182350801823004, -16.7178447598296]"""
166,btc,3857.833333333333,2143.901756116536,7,11.0,41,24,97.58484670088478,17,-11.654974394394104,16.671806977188254,"""[10.433940774487482, 23.718750000000004, 51.86051502145923, 565.6045531197302, 14.2664906285596, 530.6749670823327, 15.664193423281827, 10.180062476254808, 68.48380566801619, 7.08760141049985, 28.647962799888308, 48.21464019851117, 22.414551381392613, 104.51920486021038, 42.20633697735328, 190.62830144074806, 2.5416038809760018, 169.32460769681126, 0.9929367276900329, 13.200317156055728, 43.94660953533091, 352.27341946584176, 16.49579197423543, 8.655157121568246]""","""[-6.507751937984505, -8.833333333333337, -13.459496357414546, -16.511086866780683, -18.19673704414587, -11.911075364075778, -11.313429708778536, -9.272366689196408, -9.112617052735338, -18.47345820296916, -4.840155692907459, -9.858494867633247, -8.649276665818826, -11.711497860226384, -15.58359149904712, -7.182350801823004, -16.7178447598296]"""
130,btc,3857.833333333333,2135.19218385874,6,11.5,42,23,101.42492864723462,19,-10.399009211981948,16.604077983953566,"""[11.345102505694772, 23.281676413255354, 51.86051502145923, 568.4246401354783, 14.2664906285596, 531.8506949747975, 15.664193423281827, 10.180062476254808, 68.48380566801619, 5.673800890662644, 28.647962799888308, 32.94057052297939, 18.879041308181485, 105.23539908468742, 42.20633697735328, 188.96253223186807, 2.5416038809760018, 169.32460769681126, 13.200317156055728, 41.09835195738223, 366.56062302397646, 13.489872987207958, 8.655157121568246]""","""[-5.538759689922476, -2.4569471624266246, -9.452702702702707, -15.918411060266763, -16.82309758149006, -18.329174664107484, -11.911075364075778, -11.313429708778536, -9.272366689196408, -8.110861983059298, -2.1575682382133965, -18.47345820296916, -4.840155692907459, -8.649276665818826, -11.711497860226384, -1.7082119355379162, -15.58359149904712, -8.526676804850203, -16.803911522060456]"""
202,btc,3857.833333333333,2127.493038858569,8,10.5,44,24,97.26404473136384,20,-10.342201734708224,16.544206462804787,"""[3.372437357630978, 22.99514563106796, 51.86051502145923, 568.4246401354783, 14.2664906285596, 521.8537498090728, 15.664193423281827, 11.20806527203783, 64.85627530364373, 7.228395061728397, 23.43522197641702, 41.96909667194929, 22.414551381392613, 105.23539908468742, 42.20633697735328, 190.62830144074806, 4.696257341824239, 169.32460769681126, 0.6539671614191829, 17.550908536136284, 43.94660953533091, 363.42736906010265, 16.49579197423543, 10.622747070364177]""","""[-6.507751937984505, -2.648437500000006, -8.833333333333337, -17.633863525259635, -16.43796573654622, -18.499999999999993, -11.911075364075778, -9.565883162603562, -9.272366689196408, -9.679591836734698, -2.3163771712158843, -16.590217488588564, -4.840155692907459, -9.858494867633247, -7.430043554743011, -7.128086131799355, -11.711497860226384, -14.784437900437387, -4.476610181049467, -16.7178447598296]"""
94,btc,3857.833333333333,2106.7162371285613,5,12.0,45,25,91.73026117522026,20,-9.327014612597337,16.382638038758415,"""[10.61111111111111, 23.718750000000004, 13.233905579399142, 1.6715526601520008, 568.4246401354783, 16.16315789473684, 521.8537498090728, 15.664193423281827, 0.9478420823608515, 10.180062476254808, 68.48380566801619, 5.673800890662644, 28.647962799888308, 32.94057052297939, 22.414551381392613, 103.75733047485609, 36.715959485640134, 190.62830144074806, 5.182540381088222, 169.32460769681126, 13.200317156055728, 41.09835195738223, 366.56062302397646, 13.489872987207958, 12.668968341953768]""","""[-3.6890660592255053, -5.169260700389092, -1.6834319526627315, -0.5850340136054404, -12.419786676962797, -16.82309758149006, -15.734126984126977, -11.911075364075778, -13.622783744483277, -9.112617052735338, -2.0053763440860255, -17.701526635488896, -4.840155692907459, -9.457825881313811, -7.128086131799355, -11.711497860226384, -1.7082119355379162, -15.992810076150063, -8.526676804850203, -16.7178447598296]"""
276,btc,3857.833333333333,2106.6771659236138,10,10.5,41,23,100.32034790949872,18,-11.14949088860316,16.38233420599864,"""[11.345102505694772, 16.600371747211895, 51.64285714285715, 559.483291562239, 12.661119052481112, 531.8506949747975, 15.664193423281827, 11.19854726707281, 64.85627530364373, 6.564857304115242, 23.43522197641702, 48.21464019851117, 1.9955913001656627, 99.17655698207861, 42.20633697735328, 190.62830144074806, 2.5416038809760018, 169.32460769681126, 13.200317156055728, 41.09835195738223, 366.56062302397646, 16.49579197423543, 10.622747070364177]""","""[-0.9251700680272019, -16.644017181674485, -16.43796573654622, -22.638387927861608, -11.911075364075778, -13.622783744483277, -9.272366689196408, -10.414979757085023, -0.22439177664063775, -16.94566001021915, -4.840155692907459, -9.858494867633247, -8.908992765483307, -11.711497860226384, -5.626997044588164, -15.992810076150063, -7.182350801823004, -17.532738630235492]"""
165,btc,3857.833333333333,2096.6791398021164,7,10.5,43,26,87.70213336833136,17,-10.798607516147008,16.304585698551907,"""[10.433940774487482, 23.718750000000004, 51.86051502145923, 568.4246401354783, 14.2664906285596, 540.813608550848, 15.664193423281827, 11.20806527203783, 72.65015765120184, 7.228395061728397, 28.647962799888308, 41.96909667194929, 22.414551381392613, 105.23539908468742, 42.20633697735328, 27.997787000433405, 58.99288761934913, 4.696257341824239, 7.662578935955862, 169.32460769681126, 1.522245179146383, 17.550908536136284, 44.68451722763766, 363.42736906010265, 17.031458474500692, 10.622747070364177]""","""[-6.142023346303503, -8.833333333333337, -12.419786676962797, -16.43796573654622, -17.96641074856046, -11.911075364075778, -9.565883162603562, -9.272366689196408, -8.130038606832994, -2.1575682382133965, -16.567756429940534, -9.103151058699897, -7.128086131799355, -11.711497860226384, -14.784437900437387, -4.7271017309375285, -16.7178447598296]"""
56,btc,3857.833333333333,2085.6958595527035,4,11.5,55,31,75.23085980950664,24,-10.269199772583434,16.219175474985384,"""[41.16666666666667, 22.166666666666657, 22.043352601156066, 13.233905579399142, 16.53296703296704, 1.5408163265306145, 582.300345721694, 20.707414310862593, 531.8506949747975, 15.664193423281827, 3.464811286333969, 11.20806527203783, 70.57549799163867, 6.751720747295968, 28.647962799888308, 8.851822503961964, 21.331167247150667, 23.96293871278449, 107.65632965165675, 42.20633697735328, 32.42507302493036, 61.55380641388048, 5.182540381088222, 0.013493248235467159, 177.64014342533113, 17.550908536136284, 21.032608946973994, 11.398724357959685, 385.29689653148455, 13.489872987207958, 14.7089097473538]""","""[-12.10220994475138, -5.169260700389092, -1.488142292490115, -22.920078519349406, -8.699876809362483, -8.58678500986193, -11.65762827378054, -16.43796573654622, -15.182539682539682, -11.911075364075778, -20.271586527969745, -10.093023255813952, -9.112617052735338, -1.2865093647937123, -16.94566001021915, -9.07234995909757, -8.411480974420698, -7.430043554743011, -7.128086131799355, -9.01607398733495, -1.7082119355379162, -14.784437900437387, -3.3356689056337916, -13.709482648319234]"""
313,btc,3857.833333333333,2077.619689334374,11,10.5,40,23,99.45319920285338,17,-12.341405431250209,16.156372060318287,"""[13.395216400911169, 15.856877323420075, 51.64285714285715, 564.483164983165, 12.661119052481112, 521.8537498090728, 15.664193423281827, 10.180062476254808, 64.85627530364373, 6.564857304115242, 20.69678225620129, 48.21464019851117, 1.9955913001656627, 88.11143696217485, 42.20633697735328, 190.62830144074806, 2.5416038809760018, 169.32460769681126, 13.200317156055728, 41.09835195738223, 366.56062302397646, 17.031458474500692, 8.655157121568246]""","""[-12.571778140293642, -13.594203502422648, -17.836734693877546, -22.638387927861608, -11.911075364075778, -11.313429708778536, -9.272366689196408, -10.414979757085023, -0.22439177664063775, -18.47345820296916, -4.840155692907459, -8.908992765483307, -11.711497860226384, -15.384540741226878, -15.992810076150063, -7.182350801823004, -17.532738630235492]"""
131,btc,3857.833333333333,2075.331944899145,6,12.0,41,23,99.39177190238247,18,-11.704378269758404,16.13858167718694,"""[17.95102505694762, 22.307017543859647, 33.92857142857143, 565.6045531197302, 12.661119052481112, 521.8537498090728, 15.664193423281827, 9.871902570813456, 67.97225025227043, 5.673800890662644, 28.647962799888308, 38.79032258064516, 18.301318868325886, 104.51920486021038, 36.715959485640134, 182.38055986404794, 2.5416038809760018, 169.32460769681126, 12.59614904015851, 34.27231967569747, 366.56062302397646, 13.489872987207958, 4.382065843520172]""","""[-6.269230769230766, -2.4569471624266246, -9.75925925925927, -16.644017181674485, -18.283942510587448, -19.290786948176578, -11.911075364075778, -13.622783744483277, -9.272366689196408, -9.112617052735338, -19.21550374289267, -4.840155692907459, -8.649276665818826, -11.711497860226384, -5.626997044588164, -17.9529357322861, -8.526676804850203, -17.532738630235492]"""
