time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2021-06-01T00:00:00.0000000Z;2021-06-01T00:15:00.0000000Z;2021-06-01T00:00:00.0550000Z;2021-06-01T00:14:59.9990000Z;37253.820000000;37665.560000000;37100.000000000;37531.120000000;1877.257953000;34576
2021-06-01T00:15:00.0000000Z;2021-06-01T00:30:00.0000000Z;2021-06-01T00:15:00.0570000Z;2021-06-01T00:29:59.9730000Z;37531.130000000;37745.210000000;37456.000000000;37732.790000000;991.013693000;19211
2021-06-01T00:30:00.0000000Z;2021-06-01T00:45:00.0000000Z;2021-06-01T00:30:00.0910000Z;2021-06-01T00:44:59.9270000Z;37725.190000000;37800.000000000;37558.480000000;37723.990000000;1201.178311000;21309
2021-06-01T00:45:00.0000000Z;2021-06-01T01:00:00.0000000Z;2021-06-01T00:45:00.2660000Z;2021-06-01T00:59:59.7770000Z;37724.000000000;37894.810000000;37649.200000000;37798.310000000;1164.603587000;19296
2021-06-01T01:00:00.0000000Z;2021-06-01T01:15:00.0000000Z;2021-06-01T01:00:00.0290000Z;2021-06-01T01:14:59.9920000Z;37798.320000000;37803.490000000;37583.830000000;37684.520000000;673.447000000;14850
2021-06-01T01:15:00.0000000Z;2021-06-01T01:30:00.0000000Z;2021-06-01T01:15:00.0360000Z;2021-06-01T01:29:59.6230000Z;37685.510000000;37735.860000000;37354.370000000;37492.740000000;938.649679000;17800
2021-06-01T01:30:00.0000000Z;2021-06-01T01:45:00.0000000Z;2021-06-01T01:30:00.0990000Z;2021-06-01T01:44:59.2700000Z;37492.740000000;37492.750000000;37235.140000000;37374.090000000;737.910295000;14270
2021-06-01T01:45:00.0000000Z;2021-06-01T02:00:00.0000000Z;2021-06-01T01:45:00.2450000Z;2021-06-01T01:59:59.8950000Z;37374.090000000;37374.090000000;37160.000000000;37196.640000000;804.427182000;11254
2021-06-01T02:00:00.0000000Z;2021-06-01T02:15:00.0000000Z;2021-06-01T02:00:00.0350000Z;2021-06-01T02:14:59.9720000Z;37196.640000000;37296.080000000;36739.000000000;36865.290000000;1217.778887000;23463
2021-06-01T02:15:00.0000000Z;2021-06-01T02:30:00.0000000Z;2021-06-01T02:15:00.0470000Z;2021-06-01T02:29:59.9180000Z;36865.290000000;36934.740000000;36620.000000000;36781.280000000;883.808760000;19700
2021-06-01T02:30:00.0000000Z;2021-06-01T02:45:00.0000000Z;2021-06-01T02:30:00.0290000Z;2021-06-01T02:44:59.4670000Z;36781.280000000;36960.150000000;36760.230000000;36841.490000000;556.798379000;12302
2021-06-01T02:45:00.0000000Z;2021-06-01T03:00:00.0000000Z;2021-06-01T02:45:00.1700000Z;2021-06-01T02:59:59.4250000Z;36841.490000000;36855.540000000;36699.000000000;36850.000000000;420.464132000;12105
2021-06-01T03:00:00.0000000Z;2021-06-01T03:15:00.0000000Z;2021-06-01T03:00:00.0760000Z;2021-06-01T03:14:59.9050000Z;36850.000000000;36997.100000000;36750.000000000;36985.750000000;517.145219000;11980
2021-06-01T03:15:00.0000000Z;2021-06-01T03:30:00.0000000Z;2021-06-01T03:15:00.2950000Z;2021-06-01T03:29:59.6750000Z;36983.920000000;37124.090000000;36863.660000000;36869.680000000;792.684216000;13805
