,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
48,eth,2327.1666666666665,4340.735960185539,4,9.5,33,19,238.50893059483664,14,-13.638122936882752,55.95734962639813,"""[18.02173913043479, 7.705435994169587, 3526.248466257669, 40.03217303991296, 194.77202666748215, 51.43605435844928, 21.944273635664874, 10.23622143968553, 6.403230269073818, 37.476339438061665, 66.13692467841476, 23.94429610840398, 4.452336665891642, 49.22854327479162, 333.96847080150206, 57.01434437016371, 54.45676837915732, 23.277111213659456, 4.914925579307256]""","""[-25.4428868120457, -8.348187055235522, -21.671017653874994, -0.9889765805953538, -11.295097423004405, -10.930546302465016, -17.576817392007108, -9.491288399816591, -10.986545186670318, -7.51821984917708, -7.651508478308733, -21.074880054832086, -21.389974992264257, -16.56777493606138]"""
152,eth,2327.1666666666665,4007.736924192321,7,9.0,29,18,231.178577299385,11,-13.95249701787356,51.6645882943936,"""[13.083333333333337, 4.704492840607043, 3210.0521472392643, 26.914055613430556, 194.77202666748215, 40.66794949407593, 11.71176018447349, 9.482802391286555, 65.43023255813955, 66.05887108628546, 23.94429610840398, 1.2765692272830216, 47.25120802874489, 308.95228538132847, 55.40579898921484, 54.45676837915732, 22.134868287112095, 4.914925579307256]""","""[-11.01072791891537, -6.281933602127473, -11.295097423004405, -13.63291139240506, -17.576817392007108, -12.673314993122414, -20.710310335983586, -9.501777729892801, -10.553333333333331, -23.673468139756274, -16.56777493606138]"""
118,eth,2327.1666666666665,3998.460423007058,6,9.5,28,18,230.54081467408216,10,-15.127424112642018,51.54500294644922,"""[13.083333333333337, 4.704492840607043, 3210.0521472392643, 30.915819489213987, 191.8838653019199, 40.66794949407593, 23.923520368946967, 9.155228891982645, 65.43023255813955, 64.2140967220344, 20.081976676302283, 1.2765692272830216, 33.399145087349766, 308.95228538132847, 55.0411165401809, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-16.256219560352772, -6.281933602127473, -16.89817263765328, -17.576817392007108, -12.673314993122414, -9.501777729892801, -10.553333333333331, -24.35767656446436, -19.312724862715395, -17.862270450751257]"""
257,eth,2327.1666666666665,3995.077295574259,10,9.0,26,17,242.0813257582156,9,-13.367249146156226,51.50139033183174,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 26.914055613430556, 161.10135667131001, 37.87239470725591, 11.71176018447349, 8.606543280648587, 58.471166448230676, 63.65791379934805, 48.628896602362985, 45.872897999263536, 308.95228538132847, 42.25517115615069, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-11.01072791891537, -8.63817330210772, -11.295097423004405, -16.89817263765328, -17.576817392007108, -13.829713587620462, -10.462155535419233, -12.33543311202885, -18.25895140664962]"""
187,eth,2327.1666666666665,3994.981226836623,8,9.0,27,17,243.30690939456247,10,-14.123623287094038,51.50015188932122,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 26.914055613430556, 161.10135667131001, 40.66794949407593, 11.71176018447349, 5.650192449430846, 58.471166448230676, 66.05887108628546, 49.40321073359588, 47.25120802874489, 308.95228538132847, 55.40579898921484, 54.45676837915732, 20.87269960463067, 4.914925579307256]""","""[-11.01072791891537, -8.63817330210772, -11.295097423004405, -16.89817263765328, -17.576817392007108, -13.829713587620462, -9.501777729892801, -10.553333333333331, -23.673468139756274, -18.25895140664962]"""
117,eth,2327.1666666666665,3988.4860119881914,6,9.0,31,18,232.78633210950576,13,-15.512920460224157,51.41642069454088,"""[13.083333333333337, 4.704492840607043, 3210.0521472392643, 32.54325997824449, 194.77202666748215, 40.66794949407593, 24.69215987701769, 9.482802391286555, 66.28583705740806, 66.94495345056893, 23.94429610840398, 3.9268774703557225, 47.25120802874489, 308.95228538132847, 61.01721981972595, 54.45676837915732, 22.461434874792293, 4.914925579307256]""","""[-14.829696807442607, -6.281933602127473, -13.37533931927333, -17.576817392007108, -12.673314993122414, -20.710310335983586, -9.501777729892801, -7.651508478308733, -18.223357891460005, -22.740395906727066, -23.673468139756274, -16.56777493606138, -17.862270450751257]"""
222,eth,2327.1666666666665,3980.137413146429,9,9.0,27,17,242.39708977275927,10,-14.061311299047906,51.30879713287669,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 26.914055613430556, 161.10135667131001, 40.66794949407593, 11.71176018447349, 7.271681270985174, 58.471166448230676, 65.41258510871953, 49.40321073359588, 47.25120802874489, 308.95228538132847, 42.25517115615069, 54.45676837915732, 17.581191023051183, 4.914925579307256]""","""[-11.01072791891537, -8.63817330210772, -16.89817263765328, -17.576817392007108, -11.78908194199357, -10.986545186670318, -10.462155535419233, -10.634811104598489, -24.35767656446436, -18.25895140664962]"""
292,eth,2327.1666666666665,3975.730329523527,11,9.0,26,17,241.07897255209377,9,-13.623578206896202,51.251984481432,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 26.914055613430556, 154.1306667452691, 33.500691861973536, 11.71176018447349, 9.482802391286555, 58.471166448230676, 63.65791379934805, 44.000452766468335, 45.872897999263536, 306.47554697554693, 42.25517115615069, 54.45676837915732, 18.11250242134102, 4.914925579307256]""","""[-14.323044745848655, -8.63817330210772, -11.295097423004405, -16.89817263765328, -17.576817392007108, -13.829713587620462, -11.147976725733944, -12.33543311202885, -16.56777493606138]"""
223,eth,2327.1666666666665,3960.243921301519,9,9.5,25,17,239.7199702360249,8,-14.374446588863169,51.05234590233284,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 24.760960334029225, 154.1306667452691, 40.66794949407593, 11.71176018447349, 5.650192449430846, 58.471166448230676, 62.60771470160117, 44.000452766468335, 33.22241699319447, 308.95228538132847, 41.92124961014659, 45.52808899702223, 15.956817112654615, 3.2725617301516055]""","""[-14.323044745848655, -8.63817330210772, -16.89817263765328, -17.576817392007108, -13.829713587620462, -10.462155535419233, -12.33543311202885, -20.932062398220037]"""
153,eth,2327.1666666666665,3953.910443372304,7,9.5,27,18,227.1377118134706,9,-14.952041030018554,50.97069969254564,"""[13.083333333333337, 1.2497304917489038, 3210.0521472392643, 26.914055613430556, 161.10135667131001, 37.87239470725591, 9.120799699643326, 9.155228891982645, 58.471166448230676, 63.57496888498427, 19.506329198740136, 0.750849762066617, 47.25120802874489, 308.95228538132847, 55.0411165401809, 45.52808899702223, 17.581191023051183, 3.2725617301516055]""","""[-16.256219560352772, -6.281933602127473, -16.89817263765328, -17.576817392007108, -13.829713587620462, -9.501777729892801, -10.553333333333331, -24.35767656446436, -19.312724862715395]"""
